Output data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         20.0763        0.0000         2.3229         154.2055       63.7658        73.8112        93.9124        93.9124        93.9124        62.3747        58.9118        60.6432        153.2054       146.1708       149.7059       0.2343         0.6457         10.2351        0.0286         0.2939         8.6740         6.3584         196.1389       
0.0000         19.8690        1.0000         2.3472         158.1777       68.0722        74.1020        98.1074        98.1074        98.1074        62.4823        58.9086        60.6955        154.6218       147.2532       150.9560       0.2436         0.6187         9.5944         0.0294         0.3033         8.7336         6.4651         196.0921       
0.0000         19.6735        2.0000         2.3705         161.9850       72.3782        74.2720        102.2472       102.2472       102.2472       62.4846        58.8017        60.6431        155.7307       148.0284       151.8988       0.2524         0.5931         8.9817         0.0304         0.3132         8.7888         6.5676         195.8868       
0.0000         19.4876        3.0000         2.3931         165.5867       76.6388        74.2422        106.2881       106.2881       106.2881       62.3349        58.5628        60.4488        156.4251       148.4280       152.4464       0.2610         0.5687         8.3862         0.0312         0.3221         8.8371         6.6644         195.4614       
0.0000         19.3095        4.0000         2.4152         168.9275       80.8775        74.1483        110.2275       110.2275       110.2275       62.0990        58.2152        60.1571        156.8433       148.5025       152.6936       0.2691         0.5458         7.8193         0.0323         0.3336         8.8797         6.7557         194.8820       
0.0000         19.1436        5.0000         2.4361         172.0229       84.8894        73.9317        113.9339       113.9339       113.9339       61.7857        57.8138        59.7998        156.9806       148.3490       152.6861       0.2766         0.5249         7.3004         0.0332         0.3435         8.9162         6.8388         194.2005       
0.0000         18.9837        6.0000         2.4566         175.1130       89.0087        73.5309        117.7102       117.7102       117.7102       61.3394        57.3036        59.3215        156.7844       147.9092       152.3685       0.2843         0.5040         6.7761         0.0340         0.3521         8.9506         6.9221         193.3331       
0.0000         18.8151        7.0000         2.4787         178.4017       93.4989        72.9243        121.7998       121.7998       121.7998       60.7351        56.6564        58.6958        156.2364       147.1527       151.7164       0.2924         0.4819         6.2199         0.0347         0.3600         8.9840         7.0099         192.2197       
0.0000         18.6627        8.0000         2.4989         181.3607       97.7454        72.2433        125.6172       125.6172       125.6172       60.0690        55.9506        58.0098        155.4318       146.1528       150.8143       0.2999         0.4618         5.7114         0.0355         0.3680         9.0123         7.0901         191.0149       
0.0000         18.5245        9.0000         2.5175         184.0339       101.7014       71.4563        129.1455       129.1455       129.1455       59.3403        55.2076        57.2740        154.3764       144.9660       149.6931       0.3068         0.4435         5.2467         0.0361         0.3743         9.0351         7.1623         189.7314       
0.0000         18.3836        10.0000        2.5368         186.8092       105.8676       70.4336        132.8481       132.8481       132.8481       58.4485        54.3410        56.3947        152.9191       143.4620       148.2119       0.3141         0.4245         4.7648         0.0364         0.3779         9.0559         7.2366         188.2052       
600.0000       20.1758        0.0000         2.2207         143.0315       59.4496        67.2549        87.3102        87.3102        87.3102        57.0693        54.0753        55.5723        140.5787       134.4656       137.5366       0.2375         0.6365         9.3655         0.0269         0.2768         8.5254         6.2703         187.9817       
600.0000       19.2443        5.0000         2.4234         155.4269       75.8222        69.0329        102.3571       102.3571       102.3571       57.3407        53.3585        55.3496        144.9542       136.3777       140.6895       0.2709         0.5407         7.1943         0.0360         0.3732         8.5258         6.4990         186.8680       
600.0000       18.4858        10.0000        2.5228         165.3919       90.0207        65.0991        115.1445       115.1445       115.1445       54.1337        50.4265        52.2801        140.3989       132.0088       136.2234       0.3028         0.4540         5.0363         0.0355         0.3676         8.5599         6.7559         181.1157       
1200.0000      20.2880        0.0000         2.2084         126.4697       55.5986        58.9792        79.2223        79.2223        79.2223        49.5618        46.5958        48.0788        123.0294       116.8737       119.9675       0.2476         0.6069         7.7450         0.0308         0.3183         8.0561         5.9894         175.2162       
1200.0000      19.3573        5.0000         2.4092         134.2524       65.9579        59.1507        88.7228        88.7228        88.7228        49.1493        45.7508        47.4500        124.4648       117.1208       120.8127       0.2731         0.5348         6.1965         0.0358         0.3714         7.9427         6.0685         173.2336       
1200.0000      18.6002        10.0000        2.5073         139.8667       78.4151        60.2344        98.8990        98.8990        98.8990        48.4309        43.5171        45.9740        124.9042       113.8524       119.4180       0.2988         0.4649         4.6624         0.0534         0.5646         7.9933         6.2805         169.9287       
