The SAM model uses the reference state from Elasticity_cold+NVT_s4.dat at T = 0.000000       K
Reference data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
0.0000         20.0763        0.0000         2.3229         154.2055       63.7658        73.8112        93.9124        60.6432        149.7059       196.1389       
0.0000         19.8690        1.0000         2.3472         158.1777       68.0722        74.1020        98.1074        60.6955        150.9561       196.0922       
0.0000         19.6735        2.0000         2.3705         161.9850       72.3782        74.2720        102.2471       60.6431        151.8988       195.8869       
0.0000         19.4876        3.0000         2.3931         165.5867       76.6388        74.2422        106.2881       60.4489        152.4464       195.4614       
0.0000         19.3095        4.0000         2.4152         168.9275       80.8775        74.1483        110.2275       60.1571        152.6936       194.8820       
0.0000         19.1436        5.0000         2.4361         172.0229       84.8894        73.9317        113.9339       59.7998        152.6861       194.2005       
0.0000         18.9837        6.0000         2.4566         175.1130       89.0087        73.5309        117.7101       59.3215        152.3686       193.3332       
0.0000         18.8151        7.0000         2.4787         178.4017       93.4989        72.9243        121.7998       58.6958        151.7164       192.2197       
0.0000         18.6627        8.0000         2.4989         181.3607       97.7454        72.2433        125.6172       58.0098        150.8143       191.0149       
0.0000         18.5245        9.0000         2.5175         184.0339       101.7014       71.4563        129.1456       57.2740        149.6931       189.7314       
0.0000         18.3836        10.0000        2.5368         186.8092       105.8676       70.4336        132.8481       56.3947        148.2119       188.2052       
The SAM model parameters are as follows:
V: b0 is 0.00005393 (ang$^3/atom)     b1 is -0.02638052 (ang^3/atom/GPa)     RMSE is 0.000122665 (ang^3/atom)
C11: b0 is 0.212443 (GPa)     b1 is 3.452069     RMSE is 0.236291 (GPa)
C12: b0 is 0.231638 (GPa)     b1 is 1.139092     RMSE is 0.240538 (GPa)
C44: b0 is -0.052106 (GPa)     b1 is 1.887625     RMSE is 0.186345 (GPa)
B: b0 is 0.224131 (GPa)     b1 is 1.903417     RMSE is 0.157907 (GPa)
G: b0 is -0.030321 (GPa)     b1 is 1.561581     RMSE is 0.169628 (GPa)
E: b0 is -0.025354 (GPa)     b1 is 3.741588     RMSE is 0.372088 (GPa)
The modeled elastic constants and moduli are as follows:
T(K)           P(GPa)         V(ang^3/atom)  C11(GPa)       C12(GPa)       C44(GPa)       B(GPa)         G(GPa)         E(GPa)         
0.0000         0.0000         20.0763        154.2055       63.7658        73.8112        93.9124        60.6432        149.7059       
0.0000         1.0000         19.8690        158.1777       68.0722        74.1020        98.1074        60.6955        150.9561       
0.0000         2.0000         19.6735        161.9850       72.3782        74.2720        102.2471       60.6431        151.8988       
0.0000         3.0000         19.4876        165.5867       76.6388        74.2422        106.2881       60.4489        152.4464       
0.0000         4.0000         19.3095        168.9275       80.8775        74.1483        110.2275       60.1571        152.6936       
0.0000         5.0000         19.1436        172.0229       84.8894        73.9317        113.9339       59.7998        152.6861       
0.0000         6.0000         18.9837        175.1130       89.0087        73.5309        117.7101       59.3215        152.3686       
0.0000         7.0000         18.8151        178.4017       93.4989        72.9243        121.7998       58.6958        151.7164       
0.0000         8.0000         18.6627        181.3607       97.7454        72.2433        125.6172       58.0098        150.8143       
0.0000         9.0000         18.5245        184.0339       101.7014       71.4563        129.1456       57.2740        149.6931       
0.0000         10.0000        18.3836        186.8092       105.8676       70.4336        132.8481       56.3947        148.2119       
10.0000        0.0000         20.0763        154.2055       63.7658        73.8112        93.9124        60.6432        149.7059       
10.0000        1.0000         19.8690        158.1777       68.0722        74.1020        98.1074        60.6955        150.9561       
10.0000        2.0000         19.6735        161.9850       72.3782        74.2720        102.2471       60.6431        151.8988       
10.0000        3.0000         19.4876        165.5867       76.6388        74.2422        106.2881       60.4488        152.4464       
10.0000        4.0000         19.3095        168.9275       80.8775        74.1483        110.2275       60.1571        152.6936       
10.0000        5.0000         19.1436        172.0229       84.8894        73.9317        113.9339       59.7998        152.6861       
10.0000        6.0000         18.9837        175.1130       89.0087        73.5309        117.7101       59.3215        152.3686       
10.0000        7.0000         18.8151        178.4017       93.4989        72.9243        121.7998       58.6958        151.7164       
10.0000        8.0000         18.6627        181.3607       97.7454        72.2433        125.6172       58.0098        150.8142       
10.0000        9.0000         18.5245        184.0339       101.7014       71.4563        129.1456       57.2740        149.6931       
10.0000        10.0000        18.3836        186.8092       105.8676       70.4336        132.8481       56.3947        148.2119       
20.0000        0.0000         20.0763        154.2024       63.7648        73.8095        93.9107        60.6419        149.7026       
20.0000        1.0000         19.8690        158.1744       68.0710        74.1004        98.1055        60.6941        150.9528       
20.0000        2.0000         19.6735        161.9815       72.3768        74.2704        102.2450       60.6418        151.8955       
20.0000        3.0000         19.4876        165.5830       76.6371        74.2406        106.2858       60.4475        152.4431       
