The SAM model uses the reference state from Cu.dat at T = 100.000000     K
Reference data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
100.0000       11.6212        0.0000         0.0000         171.0000       119.6000       78.5000        136.7333       50.2347        134.2620       109.7183       
100.0000       10.9450        10.0000        0.0000         255.1000       163.3000       120.9000       193.9000       82.0067        215.6222       138.3976       
100.0000       10.4733        20.0000        0.0000         337.7000       205.4000       162.4000       249.5000       113.2771       295.1618       161.2230       
100.0000       9.8180         40.0000        0.0000         500.4000       287.9000       243.7000       358.7333       174.6587       450.8128       197.7432       
100.0000       9.3658         60.0000        0.0000         660.1000       368.4000       323.6000       465.6333       235.0240       603.5301       227.4023       
The SAM model parameters are as follows:
V: b0 is 0.00093132 (ang$^3/atom)     b1 is -0.07708797 (ang^3/atom/GPa)     RMSE is 0.00866374 (ang^3/atom)
C11: b0 is 0.068883 (GPa)     b1 is 5.395089     RMSE is 0.544365 (GPa)
C12: b0 is 0.031261 (GPa)     b1 is 3.252187     RMSE is 0.390413 (GPa)
C44: b0 is 0.047829 (GPa)     b1 is 2.583015     RMSE is 0.322023 (GPa)
B: b0 is 0.043628 (GPa)     b1 is 3.958380     RMSE is 0.387921 (GPa)
G: b0 is 0.032784 (GPa)     b1 is 1.829314     RMSE is 0.213622 (GPa)
E: b0 is 0.079490 (GPa)     b1 is 4.783771     RMSE is 0.485849 (GPa)
The modeled elastic constants and moduli are as follows:
T(K)           P(GPa)         V(ang^3/atom)  C11(GPa)       C12(GPa)       C44(GPa)       B(GPa)         G(GPa)         E(GPa)         
0.0000         0.0000         11.5566        175.5149       122.3216       80.6616        140.0459       51.7656        138.2652       
0.0000         2.0000         11.4062        192.2419       131.0805       89.1325        151.4611       58.0946        154.5221       
0.0000         4.0000         11.2666        208.9238       139.7632       97.5726        162.8105       64.4117        170.7154       
0.0000         6.0000         11.1370        225.5585       148.3739       105.9812       174.0960       70.7153        186.8442       
0.0000         8.0000         11.0167        242.1460       156.9181       114.3585       185.3215       77.0046        202.9093       
0.0000         10.0000        10.9051        258.6878       165.4022       122.7053       196.4916       83.2788        218.9121       
0.0000         12.0000        10.8011        275.1862       173.8333       131.0227       207.6119       89.5378        234.8551       
0.0000         14.0000        10.7042        291.6442       182.2189       139.3120       218.6884       95.7813        250.7411       
0.0000         16.0000        10.6133        308.0655       190.5668       147.5747       229.7276       102.0093       266.5736       
0.0000         18.0000        10.5277        324.4541       198.8854       155.8126       240.7362       108.2221       282.3561       
0.0000         20.0000        10.4465        340.8143       207.1830       164.0276       251.7214       114.4198       298.0926       
0.0000         22.0000        10.3689        357.1499       215.4665       172.2213       262.6890       120.6027       313.7866       
0.0000         24.0000        10.2948        373.4609       223.7367       180.3947       273.6396       126.7713       329.4398       
0.0000         26.0000        10.2238        389.7468       231.9930       188.5484       284.5725       132.9261       345.0536       
0.0000         28.0000        10.1560        406.0072       240.2345       196.6832       295.4870       139.0675       360.6292       
0.0000         30.0000        10.0911        422.2414       248.4607       204.7999       306.3826       145.1960       376.1680       
0.0000         32.0000        10.0290        438.4492       256.6710       212.8993       317.2587       151.3121       391.6716       
0.0000         34.0000        9.9696         454.6302       264.8647       220.9820       328.1149       157.4165       407.1412       
0.0000         36.0000        9.9125         470.7839       273.0413       229.0490       338.9506       163.5095       422.5784       
0.0000         38.0000        9.8578         486.9102       281.2003       237.1011       349.7654       169.5918       437.9847       
0.0000         40.0000        9.8052         503.0087       289.3412       245.1391       360.5589       175.6640       453.3617       
0.0000         42.0000        9.7546         519.0793       297.4634       253.1638       371.3306       181.7265       468.7108       
0.0000         44.0000        9.7058         535.1216       305.5666       261.1761       382.0802       187.7799       484.0336       
0.0000         46.0000        9.6586         551.1356       313.6502       269.1768       392.8073       193.8248       499.3317       
0.0000         48.0000        9.6129         567.1209       321.7137       277.1668       403.5115       199.8618       514.6066       
0.0000         50.0000        9.5686         583.0775       329.7569       285.1469       414.1924       205.8915       529.8600       
0.0000         52.0000        9.5253         599.0051       337.7791       293.1180       424.8498       211.9144       545.0934       
0.0000         54.0000        9.4831         614.9037       345.7799       301.0809       435.4833       217.9310       560.3085       
0.0000         56.0000        9.4417         630.7730       353.7591       309.0366       446.0925       223.9421       575.5068       
0.0000         58.0000        9.4009         646.6130       361.7160       316.9859       456.6771       229.9482       590.6900       
0.0000         60.0000        9.3606         662.4234       369.6504       324.9297       467.2369       235.9498       605.8597       
100.0000       0.0000         11.6212        171.0000       119.6000       78.5000        136.7333       50.2347        134.2620       
100.0000       2.0000         11.4642        187.9760       128.5248       87.0672        148.3419       56.6336        150.7111       
100.0000       4.0000         11.3190        204.8680       137.3477       95.5883        159.8545       63.0095        167.0664       
100.0000       6.0000         11.1847        221.6820       146.0783       104.0657       171.2795       69.3632        183.3333       
100.0000       8.0000         11.0603        238.4240       154.7259       112.5021       182.6252       75.6953        199.5168       
100.0000       10.0000        10.9450        255.1000       163.3000       120.9000       193.9000       82.0067        215.6222       
100.0000       12.0000        10.8379        271.7160       171.8101       129.2619       205.1121       88.2980        231.6549       
