Output data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         11.5566        0.0000         9.1307         175.5149       122.3216       80.6616        140.0527       140.0527       140.0527       59.0356        44.4880        51.7618        155.2876       120.6853       138.2531       0.3355         0.3696         3.2799         0.1405         1.6350         4.7851         3.9165         111.2573       
0.0000         11.4062        2.0000         9.2511         192.2419       131.0805       89.1325        151.4677       151.4677       151.4677       65.7118        50.4753        58.0935        172.2291       136.2870       154.5252       0.3300         0.3835         4.0162         0.1311         1.5093         4.9745         4.0463         117.5231       
0.0000         11.2666        4.0000         9.3658         208.9238       139.7632       97.5726        162.8168       162.8168       162.8168       72.3756        56.4444        64.4100        189.1063       151.7923       170.7181       0.3252         0.3956         4.7278         0.1237         1.4112         5.1530         4.1694         123.4169       
0.0000         11.1370        6.0000         9.4748         225.5585       148.3739       105.9812       174.1021       174.1021       174.1021       79.0256        62.3980        70.7118        205.9207       167.2172       186.8403       0.3211         0.4062         5.4168         0.1176         1.3324         5.3222         4.2866         128.9952       
0.0000         11.0167        8.0000         9.5782         242.1460       156.9181       114.3585       185.3274       185.3274       185.3274       85.6607        68.3375        76.9991        222.6744       182.5720       202.8976       0.3175         0.4155         6.0850         0.1125         1.2675         5.4834         4.3987         134.3014       
0.0000         10.9051        10.0000        9.6763         258.6878       165.4022       122.7053       196.4974       196.4974       196.4974       92.2803        74.2634        83.2719        239.3695       197.8637       218.8945       0.3143         0.4238         6.7337         0.1082         1.2130         5.6375         4.5063         139.3701       
0.0000         10.8011        12.0000        9.7694         275.1862       173.8333       131.0227       207.6176       207.6176       207.6176       98.8842        80.1759        89.5301        256.0086       213.0971       234.8346       0.3115         0.4312         7.3642         0.1045         1.1667         5.7854         4.6100         144.2289       
0.0000         10.7042        14.0000        9.8579         291.6442       182.2189       139.3120       218.6940       218.6940       218.6940       105.4722       86.0748        95.7735        272.5943       228.2758       250.7209       0.3089         0.4379         7.9776         0.1013         1.1268         5.9278         4.7101         148.9000       
0.0000         10.6133        16.0000        9.9423         308.0655       190.5668       147.5747       229.7331       229.7331       229.7331       112.0446       91.9597        102.0021       289.1293       243.4021       266.5559       0.3066         0.4440         8.5746         0.0985         1.0920         6.0651         4.8069         153.4021       
0.0000         10.5277        18.0000        10.0232        324.4541       198.8854       155.8126       240.7416       240.7416       240.7416       118.6013       97.8302        108.2158       305.6167       258.4780       282.3421       0.3045         0.4495         9.1561         0.0960         1.0616         6.1979         4.9009         157.7502       
0.0000         10.4465        20.0000        10.1011        340.8143       207.1830       164.0276       251.7268       251.7268       251.7268       125.1428       103.6856       114.4142       322.0593       273.5049       298.0816       0.3026         0.4545         9.7226         0.0938         1.0347         6.3264         4.9921         161.9569       
0.0000         10.3689        22.0000        10.1766        357.1499       215.4665       172.2213       262.6943       262.6943       262.6943       131.6695       109.5256       120.5976       338.4600       288.4842       313.7766       0.3009         0.4591         10.2746        0.0918         1.0109         6.4509         5.0807         166.0331       
0.0000         10.2948        24.0000        10.2499        373.4609       223.7367       180.3947       273.6448       273.6448       273.6448       138.1816       115.3509       126.7663       354.8207       303.4188       329.4293       0.2994         0.4633         10.8131        0.0901         0.9896         6.5717         5.1669         169.9893       
0.0000         10.2238        26.0000        10.3210        389.7468       231.9930       188.5484       284.5776       284.5776       284.5776       144.6798       121.1622       132.9210       371.1429       318.3117       345.0421       0.2979         0.4671         11.3391        0.0885         0.9705         6.6891         5.2510         173.8351       
0.0000         10.1560        28.0000        10.3900        406.0072       240.2345       196.6832       295.4921       295.4921       295.4921       151.1645       126.9603       139.0624       387.4281       333.1653       360.6169       0.2966         0.4706         11.8533        0.0870         0.9532         6.8034         5.3329         177.5789       
0.0000         10.0911        30.0000        10.4568        422.2414       248.4607       204.7999       306.3876       306.3876       306.3876       157.6361       132.7459       145.1910       403.6777       347.9819       376.1554       0.2954         0.4739         12.3567        0.0857         0.9375         6.9147         5.4130         181.2282       
0.0000         10.0290        32.0000        10.5215        438.4492       256.6710       212.8993       317.2637       317.2637       317.2637       164.0952       138.5195       151.3073       419.8932       362.7635       391.6595       0.2943         0.4769         12.8498        0.0845         0.9232         7.0234         5.4913         184.7895       
0.0000         9.9696         34.0000        10.5843        454.6302       264.8647       220.9820       328.1198       328.1198       328.1198       170.5423       144.2818       157.4120       436.0759       377.5118       407.1306       0.2932         0.4797         13.3333        0.0834         0.9100         7.1295         5.5678         188.2688       
0.0000         9.9125         36.0000        10.6452        470.7839       273.0413       229.0490       338.9555       338.9555       338.9555       176.9779       150.0332       163.5056       452.2271       392.2285       422.5702       0.2922         0.4824         13.8079        0.0824         0.8980         7.2333         5.6428         191.6714       
0.0000         9.8578         38.0000        10.7043        486.9102       281.2003       237.1011       349.7703       349.7703       349.7703       183.4027       155.7745       169.5886       468.3482       406.9152       437.9798       0.2913         0.4849         14.2741        0.0815         0.8868         7.3348         5.7163         195.0018       
0.0000         9.8052         40.0000        10.7617        503.0087       289.3412       245.1391       360.5637       360.5637       360.5637       189.8170       161.5059       175.6614       484.4405       421.5732       453.3607       0.2904         0.4872         14.7324        0.0806         0.8765         7.4343         5.7883         198.2643       
0.0000         9.7546         42.0000        10.8175        519.0793       297.4634       253.1638       371.3354       371.3354       371.3354       196.2215       167.2281       181.7248       500.5052       436.2039       468.7142       0.2896         0.4894         15.1834        0.0798         0.8669         7.5317         5.8589         201.4627       
0.0000         9.7058         44.0000        10.8719        535.1216       305.5666       261.1761       382.0849       382.0849       382.0849       202.6167       172.9415       187.7791       516.5436       450.8085       484.0417       0.2889         0.4915         15.6275        0.0790         0.8580         7.6271         5.9282         204.6004       
0.0000         9.6586         46.0000        10.9250        551.1356       313.6502       269.1768       392.8120       392.8120       392.8120       209.0032       178.6465       193.8248       532.5571       465.3884       499.3442       0.2881         0.4934         16.0650        0.0783         0.8496         7.7208         5.9963         207.6805       
0.0000         9.6129         48.0000        10.9769        567.1209       321.7137       277.1668       403.5161       403.5161       403.5161       215.3815       184.3437       199.8626       548.5467       479.9446       514.6231       0.2874         0.4953         16.4965        0.0776         0.8418         7.8126         6.0630         210.7057       
0.0000         9.5686         50.0000        11.0279        583.0775       329.7569       285.1469       414.1971       414.1971       414.1971       221.7522       190.0334       205.8928       564.5139       494.4782       529.8794       0.2868         0.4971         16.9222        0.0770         0.8346         7.9027         6.1286         213.6785       
0.0000         9.5253         52.0000        11.0779        599.0051       337.7791       293.1180       424.8544       424.8544       424.8544       228.1160       195.7162       211.9161       580.4597       508.9903       545.1145       0.2862         0.4988         17.3426        0.0764         0.8277         7.9911         6.1929         216.6011       
0.0000         9.4831         54.0000        11.1272        614.9037       345.7799       301.0809       435.4879       435.4879       435.4879       234.4733       201.3924       217.9329       596.3855       523.4821       560.3293       0.2856         0.5004         17.7579        0.0759         0.8213         8.0778         6.2560         219.4754       
0.0000         9.4417         56.0000        11.1760        630.7730       353.7591       309.0366       446.0971       446.0971       446.0971       240.8247       207.0625       223.9436       612.2925       537.9544       575.5251       0.2850         0.5020         18.1686        0.0754         0.8153         8.1629         6.3179         222.3033       
0.0000         9.4009         58.0000        11.2245        646.6130       361.7160       316.9859       456.6817       456.6817       456.6817       247.1709       212.7269       229.9489       628.1819       552.4084       590.7030       0.2844         0.5035         18.5747        0.0749         0.8096         8.2463         6.3786         225.0864       
0.0000         9.3606         60.0000        11.2728        662.4234       369.6504       324.9297       467.2414       467.2414       467.2414       253.5124       218.3861       235.9492       644.0550       566.8449       605.8640       0.2839         0.5050         18.9767        0.0744         0.8042         8.3280         6.4381         227.8259       
100.0000       11.6212        0.0000         9.0800         171.0000       119.6000       78.5000        136.7333       136.7333       136.7333       57.3800        43.0895        50.2347        151.0155       116.9803       134.2620       0.3363         0.3674         3.1280         0.1422         1.6582         4.7366         3.8806         109.7183       
100.0000       11.4642        2.0000         9.2043         187.9760       128.5248       87.0672        148.3419       148.3419       148.3419       64.1306        49.1457        56.6382        168.1591       132.7745       150.7310       0.3306         0.3818         3.8763         0.1323         1.5245         4.9316         4.0145         116.1502       
100.0000       11.3190        4.0000         9.3224         204.8680       137.3477       95.5883        159.8545       159.8545       159.8545       70.8570        55.1718        63.0144        185.2062       148.4381       167.0879       0.3258         0.3942         4.5978         0.1245         1.4215         5.1147         4.1409         122.1758       
100.0000       11.1847        6.0000         9.4344         221.6820       146.0783       104.0657       171.2795       171.2795       171.2795       77.5602        61.1730        69.3666        202.1652       163.9953       183.3484       0.3216         0.4050         5.2949         0.1181         1.3394         5.2876         4.2609         127.8609       
100.0000       11.0603        8.0000         9.5405         238.4240       154.7259       112.5021       182.6252       182.6252       182.6252       84.2409        67.1529        75.6969        219.0429       179.4621       199.5236       0.3179         0.4145         5.9699         0.1129         1.2723         5.4517         4.3752         133.2552       
100.0000       10.9450        10.0000        9.6410         255.1000       163.3000       120.9000       193.9000       193.9000       193.9000       90.9000        73.1134        82.0067        235.8454       194.8498       215.6222       0.3147         0.4229         6.6243         0.1084         1.2164         5.6083         4.4847         138.3976       
100.0000       10.8379        12.0000        9.7363         271.7160       171.8101       129.2619       205.1121       205.1121       205.1121       97.5383        79.0559        88.2971        252.5782       210.1664       231.6508       0.3118         0.4305         7.2597         0.1047         1.1689         5.7584         4.5899         143.3187       
100.0000       10.7381        14.0000        9.8268         288.2780       180.2657       137.5903       216.2698       216.2698       216.2698       104.1566       84.9810        94.5688        269.2464       225.4177       247.6147       0.3092         0.4373         7.8773         0.1014         1.1282         5.9025         4.6913         148.0434       
100.0000       10.6446        16.0000        9.9131         304.7920       188.6763       145.8877       227.3815       227.3815       227.3815       110.7558       90.8890        100.8224       285.8548       240.6084       263.5186       0.3068         0.4434         8.4781         0.0985         1.0929         6.0414         4.7893         152.5918       
100.0000       10.5567        18.0000        9.9956         321.2640       197.0512       154.1568       238.4555       238.4555       238.4555       117.3366       96.7801        107.0584       302.4080       255.7417       279.3665       0.3047         0.4490         9.0628         0.0960         1.0620         6.1755         4.8843         156.9804       
100.0000       10.4733        20.0000        10.0752        337.7000       205.4000       162.4000       249.5000       249.5000       249.5000       123.9000       102.6542       113.2771       318.9104       270.8205       295.1618       0.3028         0.4540         9.6321         0.0938         1.0348         6.3051         4.9763         161.2230       
100.0000       10.3938        22.0000        10.1522        354.1050       213.7305       170.6196       260.5220       260.5220       260.5220       130.4467       108.5112       119.4789       335.3660       285.8472       310.9080       0.3011         0.4586         10.1868        0.0918         1.0107         6.4306         5.0657         165.3312       
100.0000       10.3179        24.0000        10.2269        370.4800       222.0440       178.8168       271.5227       271.5227       271.5227       136.9773       114.3521       125.6647       351.7772       300.8254       326.6078       0.2995         0.4628         10.7277        0.0900         0.9893         6.5523         5.1526         169.3160       
100.0000       10.2453        26.0000        10.2994        386.8250       230.3402       186.9925       282.5018       282.5018       282.5018       143.4925       120.1779       131.8352       368.1461       315.7584       342.2640       0.2981         0.4667         11.2558        0.0884         0.9700         6.6705         5.2373         173.1876       
100.0000       10.1760        28.0000        10.3696        403.1400       238.6187       195.1477       293.4591       293.4591       293.4591       149.9929       125.9893       137.9911       384.4745       330.6491       357.8790       0.2967         0.4702         11.7720        0.0870         0.9526         6.7855         5.3198         176.9547       
100.0000       10.1097        30.0000        10.4376        419.4250       246.8792       203.2833       304.3944       304.3944       304.3944       156.4792       131.7871       144.1331       400.7643       345.5001       373.4548       0.2955         0.4735         12.2771        0.0857         0.9368         6.8975         5.4003         180.6252       
100.0000       10.0463        32.0000        10.5035        435.6800       255.1213       211.4003       315.3076       315.3076       315.3076       162.9519       137.5722       150.2620       417.0171       360.3136       388.9936       0.2944         0.4766         12.7718        0.0845         0.9224         7.0067         5.4790         184.2059       
100.0000       9.9856         34.0000        10.5673        451.9050       263.3448       219.4995       326.1982       326.1982       326.1982       169.4117       143.3451       156.3784       433.2347       375.0918       404.4971       0.2933         0.4794         13.2569        0.0833         0.9092         7.1133         5.5559         187.7029       
100.0000       9.9274         36.0000        10.6293        468.1000       271.5493       227.5819       337.0662       337.0662       337.0662       175.8593       149.1066       162.4829       449.4186       389.8364       419.9670       0.2923         0.4821         13.7329        0.0823         0.8971         7.2176         5.6313         191.1216       
100.0000       9.8716         38.0000        10.6893        484.2650       279.7345       235.6484       347.9113       347.9113       347.9113       182.2951       154.8572       168.5762       465.5704       404.5492       435.4051       0.2914         0.4845         14.2004        0.0814         0.8859         7.3195         5.7050         194.4669       
100.0000       9.8180         40.0000        10.7477        500.4000       287.9000       243.7000       358.7333       358.7333       358.7333       188.7200       160.5974       174.6587       481.6916       419.2319       450.8128       0.2906         0.4869         14.6600        0.0805         0.8756         7.4193         5.7773         197.7432       
100.0000       9.7664         42.0000        10.8045        516.5050       296.0455       251.7376       369.5320       369.5320       369.5320       195.1345       166.3280       180.7312       497.7838       433.8859       466.1917       0.2897         0.4891         15.1122        0.0797         0.8660         7.5170         5.8482         200.9544       
100.0000       9.7167         44.0000        10.8597        532.5800       304.1707       259.7621       380.3071       380.3071       380.3071       201.5391       172.0492       186.7942       513.8482       448.5127       481.5433       0.2890         0.4912         15.5573        0.0789         0.8570         7.6128         5.9178         204.1041       
100.0000       9.6687         46.0000        10.9137        548.6250       312.2752       267.7745       391.0584       391.0584       391.0584       207.9347       177.7618       192.8483       529.8865       463.1136       496.8688       0.2882         0.4931         15.9959        0.0782         0.8487         7.7066         5.9860         207.1952       
100.0000       9.6222         48.0000        10.9664        564.6400       320.3587       275.7757       401.7858       401.7858       401.7858       214.3217       183.4663       198.8940       545.9000       477.6900       512.1697       0.2875         0.4950         16.4284        0.0776         0.8409         7.7987         6.0529         210.2308       
100.0000       9.5770         50.0000        11.0181        580.6250       328.4208       283.7667       412.4889       412.4889       412.4889       220.7008       189.1630       204.9319       561.8900       492.2431       527.4473       0.2869         0.4968         16.8551        0.0769         0.8336         7.8890         6.1186         213.2133       
100.0000       9.5331         52.0000        11.0689        596.5800       336.4613       291.7483       423.1676       423.1676       423.1676       227.0727       194.8525       210.9626       577.8581       506.7741       542.7029       0.2863         0.4985         17.2764        0.0764         0.8268         7.9776         6.1831         216.1451       
100.0000       9.4901         54.0000        11.1190        612.5050       344.4798       299.7215       433.8216       433.8216       433.8216       233.4379       200.5353       216.9866       593.8055       521.2842       557.9377       0.2857         0.5002         17.6926        0.0758         0.8204         8.0645         6.2463         219.0281       
100.0000       9.4481         56.0000        11.1685        628.4000       352.4760       307.6872       444.4507       444.4507       444.4507       239.7971       206.2119       223.0045       609.7336       535.7745       573.1530       0.2851         0.5018         18.1041        0.0753         0.8143         8.1497         6.3083         221.8643       
100.0000       9.4067         58.0000        11.2176        644.2650       360.4495       315.6464       455.0547       455.0547       455.0547       246.1509       211.8826       229.0168       625.6438       550.2460       588.3501       0.2845         0.5033         18.5111        0.0748         0.8087         8.2333         6.3691         224.6552       
100.0000       9.3658         60.0000        11.2666        660.1000       368.4000       323.6000       465.6333       465.6333       465.6333       252.5000       217.5481       235.0240       641.5374       564.7000       603.5301       0.2840         0.5047         18.9139        0.0744         0.8033         8.3152         6.4287         227.4023       
200.0000       11.7167        0.0000         9.0060         164.3111       115.5679       75.2975        131.8156       131.8156       131.8156       54.9272        41.0156        47.9714        144.6849       111.4839       128.3448       0.3377         0.3639         2.8992         0.1450         1.6959         4.6625         3.8258         107.3842       
200.0000       11.5521        2.0000         9.1343         181.5106       124.6514       83.9371        143.6045       143.6045       143.6045       61.7341        47.1297        54.4319        161.9897       127.4467       144.9781       0.3317         0.3790         3.6614         0.1342         1.5494         4.8649         3.9650         114.0269       
200.0000       11.4003        4.0000         9.2560         198.5872       133.6071       92.5154        155.2671       155.2671       155.2671       68.5053        53.2004        60.8528        179.1659       143.2411       161.4645       0.3267         0.3919         4.3940         0.1258         1.4384         5.0538         4.0957         120.2193       
200.0000       11.2601        6.0000         9.3712         215.5547       142.4497       101.0382       166.8180       166.8180       166.8180       75.2439        59.2364        67.2402        196.2286       158.9009       177.8279       0.3223         0.4031         5.1002         0.1190         1.3512         5.2315         4.2191         126.0392       
200.0000       11.1306        8.0000         9.4802         232.4252       151.1926       109.5102       178.2701       178.2701       178.2701       81.9527        65.2435        73.5981        213.1895       174.4488       194.0852       0.3185         0.4128         5.7825         0.1135         1.2805         5.3996         4.3364         131.5445       
200.0000       11.0106        10.0000        9.5835         249.2093       159.8484       117.9359       189.6354       189.6354       189.6354       88.6337        71.2252        79.9295        230.0588       189.9007       210.2491       0.3152         0.4215         6.4431         0.1089         1.2221         5.5595         4.4483         136.7795       
