The SAM model uses the reference state from Li2O.dat at T = 0.000000       K
Reference data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
0.0000         8.2711         0.0000         2.0000         206.8000       24.1000        54.2000        85.0000        66.8948        158.9791       296.8984       
0.0000         7.4929         10.0000        2.2200         249.2000       50.4000        76.6000        116.6667       85.0290        205.2288       329.9163       
0.0000         6.9545         20.0000        2.3900         292.5000       82.9000        92.5000        152.7667       97.2382        240.6546       349.6428       
0.0000         6.5336         30.0000        2.5300         332.2000       115.0000       103.2000       187.4000       105.3271       266.1236       361.2212       
The SAM model parameters are as follows:
V: b0 is 0.00389441 (ang$^3/atom)     b1 is -0.14695681 (ang^3/atom/GPa)     RMSE is 0.0389078 (ang^3/atom)
C11: b0 is -0.164028 (GPa)     b1 is 14.522760     RMSE is 1.169409 (GPa)
C12: b0 is 0.009619 (GPa)     b1 is 2.102904     RMSE is 1.200393 (GPa)
C44: b0 is 0.045614 (GPa)     b1 is 3.864329     RMSE is 1.348691 (GPa)
B: b0 is -0.037354 (GPa)     b1 is 5.684470     RMSE is 0.680459 (GPa)
G: b0 is -0.004084 (GPa)     b1 is 4.751164     RMSE is 0.927858 (GPa)
E: b0 is -0.008292 (GPa)     b1 is 11.084042     RMSE is 1.834261 (GPa)
The modeled elastic constants and moduli are as follows:
T(K)           P(GPa)         V(ang^3/atom)  C11(GPa)       C12(GPa)       C44(GPa)       B(GPa)         G(GPa)         E(GPa)         
0.0000         0.0000         8.2711         206.8000       24.1000        54.2000        85.0000        66.8948        158.9791       
0.0000         1.0000         8.1790         210.8713       26.2629        56.7696        87.7990        69.0263        164.1158       
0.0000         2.0000         8.0904         214.9920       28.5472        59.2624        90.6955        71.0823        169.1365       
0.0000         3.0000         8.0052         219.1577       30.9463        61.6799        93.6834        73.0646        174.0421       
0.0000         4.0000         7.9233         223.3640       33.4536        64.0232        96.7571        74.9750        178.8333       
0.0000         5.0000         7.8444         227.6062       36.0625        66.2938        99.9104        76.8153        183.5111       
0.0000         6.0000         7.7686         231.8800       38.7664        68.4928        103.1376       78.5874        188.0763       
0.0000         7.0000         7.6957         236.1807       41.5587        70.6217        106.4327       80.2930        192.5298       
0.0000         8.0000         7.6255         240.5040       44.4328        72.6816        109.7899       81.9339        196.8725       
0.0000         9.0000         7.5580         244.8452       47.3821        74.6739        113.2031       83.5120        201.1052       
0.0000         10.0000        7.4929         249.2000       50.4000        76.6000        116.6667       85.0290        205.2288       
0.0000         11.0000        7.4303         253.5637       53.4799        78.4610        120.1745       86.4868        209.2441       
0.0000         12.0000        7.3700         257.9320       56.6152        80.2584        123.7208       87.8871        213.1521       
0.0000         13.0000        7.3118         262.3003       59.7993        81.9933        127.2996       89.2318        216.9536       
0.0000         14.0000        7.2556         266.6640       63.0256        83.6672        130.9051       90.5226        220.6494       
0.0000         15.0000        7.2014         271.0188       66.2875        85.2812        134.5312       91.7615        224.2405       
0.0000         16.0000        7.1489         275.3600       69.5784        86.8368        138.1723       92.9501        227.7277       
0.0000         17.0000        7.0981         279.6833       72.8917        88.3351        141.8222       94.0902        231.1118       
0.0000         18.0000        7.0488         283.9840       76.2208        89.7776        145.4752       95.1838        234.3938       
0.0000         19.0000        7.0010         288.2577       79.5591        91.1654        149.1253       96.2325        237.5744       
0.0000         20.0000        6.9545         292.5000       82.9000        92.5000        152.7667       97.2382        240.6546       
0.0000         21.0000        6.9091         296.7063       86.2369        93.7826        156.3934       98.2028        243.6353       
0.0000         22.0000        6.8648         300.8720       89.5632        95.0144        159.9995       99.1279        246.5172       
0.0000         23.0000        6.8214         304.9928       92.8723        96.1968        163.5791       100.0154       249.3013       
0.0000         24.0000        6.7788         309.0640       96.1576        97.3312        167.1264       100.8672       251.9885       
0.0000         25.0000        6.7369         313.0813       99.4125        98.4188        170.6354       101.6849       254.5795       
0.0000         26.0000        6.6956         317.0400       102.6304       99.4608        174.1003       102.4705       257.0754       
0.0000         27.0000        6.6547         320.9357       105.8047       100.4587       177.5151       103.2257       259.4768       
0.0000         28.0000        6.6142         324.7640       108.9288       101.4136       180.8739       103.9523       261.7847       
0.0000         29.0000        6.5738         328.5202       111.9961       102.3269       184.1708       104.6522       264.0001       
0.0000         30.0000        6.5336         332.2000       115.0000       103.2000       187.4000       105.3271       266.1236       
100.0000       0.0000         8.2909         204.8355       23.8155        53.6773        84.2311        66.2521        157.4798       
100.0000       1.0000         8.1977         208.9918       25.9864        56.2578        87.0598        68.4049        162.6661       
100.0000       2.0000         8.1081         213.1912       28.2780        58.7606        89.9838        70.4806        167.7325       
100.0000       3.0000         8.0219         217.4300       30.6838        61.1871        92.9972        72.4810        172.6802       
100.0000       4.0000         7.9390         221.7041       33.1973        63.5388        96.0945        74.4082        177.5105       
100.0000       5.0000         7.8593         226.0096       35.8119        65.8169        99.2698        76.2641        182.2244       
100.0000       6.0000         7.7826         230.3423       38.5210        68.0228        102.5174       78.0505        186.8230       
100.0000       7.0000         7.7089         234.6981       41.3181        70.1579        105.8315       79.7695        191.3075       
100.0000       8.0000         7.6380         239.0729       44.1967        72.2234        109.2064       81.4228        195.6790       
100.0000       9.0000         7.5698         243.4625       47.1500        74.2209        112.6363       83.0124        199.9384       
100.0000       10.0000        7.5042         247.8627       50.1717        76.1515        116.1153       84.5400        204.0868       
100.0000       11.0000        7.4409         252.2691       53.2551        78.0166        119.6377       86.0077        208.1252       
100.0000       12.0000        7.3800         256.6776       56.3936        79.8176        123.1976       87.4173        212.0546       
100.0000       13.0000        7.3212         261.0839       59.5806        81.5558        126.7892       88.7706        215.8760       
100.0000       14.0000        7.2646         265.4835       62.8096        83.2324        130.4067       90.0694        219.5905       
100.0000       15.0000        7.2098         269.8723       66.0739        84.8489        134.0442       91.3157        223.1989       
100.0000       16.0000        7.1568         274.2459       69.3671        86.4066        137.6960       92.5113        226.7022       
100.0000       17.0000        7.1056         278.5998       72.6824        87.9068        141.3560       93.6580        230.1014       
100.0000       18.0000        7.0558         282.9298       76.0134        89.3507        145.0185       94.7576        233.3975       
100.0000       19.0000        7.0076         287.2315       79.3535        90.7398        148.6777       95.8120        236.5913       
100.0000       20.0000        6.9606         291.5004       82.6959        92.0753        152.3277       96.8231        239.6839       
100.0000       21.0000        6.9148         295.7323       86.0343        93.3586        155.9625       97.7926        242.6761       
100.0000       22.0000        6.8701         299.9226       89.3619        94.5910        159.5765       98.7224        245.5689       
100.0000       23.0000        6.8263         304.0670       92.6721        95.7737        163.1636       99.6143        248.3632       
100.0000       24.0000        6.7834         308.1610       95.9585        96.9082        166.7180       100.4702       251.0600       
100.0000       25.0000        6.7411         312.2003       99.2144        97.9957        170.2338       101.2919       253.6601       
100.0000       26.0000        6.6994         316.1803       102.4332       99.0376        173.7053       102.0812       256.1645       
100.0000       27.0000        6.6582         320.0967       105.6083       100.0351       177.1264       102.8400       258.5741       
100.0000       28.0000        6.6173         323.9451       108.7332       100.9896       180.4913       103.5700       260.8898       
100.0000       29.0000        6.5766         327.7209       111.8011       101.9024       183.7942       104.2730       263.1125       
100.0000       30.0000        6.5360         331.4198       114.8057       102.7748       187.0292       104.9510       265.2432       
200.0000       0.0000         8.3485         199.1445       22.9915        52.1630        82.0035        64.3903        153.1362       
200.0000       1.0000         8.2528         203.4673       25.1736        54.7534        84.8871        66.5785        158.4047       
200.0000       2.0000         8.1607         207.8242       27.4756        57.2650        87.8627        68.6872        163.5479       
200.0000       3.0000         8.0722         212.2120       29.8910        59.6991        90.9249        70.7186        168.5673       
200.0000       4.0000         7.9871         216.6274       32.4133        62.0572        94.0681        72.6748        173.4647       
200.0000       5.0000         7.9053         221.0670       35.0360        64.3408        97.2868        74.5577        178.2413       
200.0000       6.0000         7.8266         225.5273       37.7526        66.5511        100.5755       76.3695        182.8987       
200.0000       7.0000         7.7509         230.0047       40.5565        68.6897        103.9285       78.1122        187.4383       
200.0000       8.0000         7.6782         234.4954       43.4413        70.7580        107.3403       79.7878        191.8613       
200.0000       9.0000         7.6081         238.9957       46.4004        72.7573        110.8052       81.3983        196.1690       
200.0000       10.0000        7.5407         243.5018       49.4273        74.6890        114.3175       82.9456        200.3628       
200.0000       11.0000        7.4758         248.0098       52.5154        76.5544        117.8716       84.4317        204.4437       
200.0000       12.0000        7.4132         252.5157       55.6582        78.3551        121.4618       85.8585        208.4131       
200.0000       13.0000        7.3529         257.0155       58.8490        80.0922        125.0822       87.2280        212.2721       
200.0000       14.0000        7.2946         261.5053       62.0815        81.7673        128.7273       88.5421        216.0217       
200.0000       15.0000        7.2384         265.9809       65.3490        83.3816        132.3912       89.8027        219.6632       
200.0000       16.0000        7.1839         270.4383       68.6449        84.9364        136.0681       91.0118        223.1977       
200.0000       17.0000        7.1312         274.8733       71.9627        86.4333        139.7524       92.1712        226.6262       
200.0000       18.0000        7.0801         279.2818       75.2958        87.8734        143.4383       93.2827        229.9498       
200.0000       19.0000        7.0304         283.6595       78.6377        89.2582        147.1198       94.3484        233.1696       
200.0000       20.0000        6.9821         288.0024       81.9817        90.5891        150.7914       95.3701        236.2867       
200.0000       21.0000        6.9350         292.3061       85.3214        91.8672        154.4471       96.3497        239.3020       
200.0000       22.0000        6.8889         296.5665       88.6501        93.0941        158.0812       97.2891        242.2167       
200.0000       23.0000        6.8439         300.7792       91.9613        94.2710        161.6878       98.1900        245.0317       
200.0000       24.0000        6.7997         304.9400       95.2485        95.3993        165.2612       99.0545        247.7481       
