Output data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         8.2711         0.0000         1.9995         206.8000       24.1000        54.2000        85.0000        85.0000        85.0000        69.0600        64.7296        66.8948        163.0281       154.8751       158.9791       0.1883         0.7870         14.6674        0.0324         0.3345         9.3336         6.5199         296.8984       
0.0000         8.1790         1.0000         2.0221         210.8713       26.2629        56.7696        87.7990        87.7990        87.7990        70.9834        67.1026        69.0430        167.7444       160.4356       164.1113       0.1885         0.7864         14.9805        0.0281         0.2892         9.4312         6.5894         301.0718       
0.0000         8.0904         2.0000         2.0442         214.9920       28.5472        59.2624        90.6955        90.6955        90.6955        72.8464        69.3708        71.1086        172.3859       165.8322       169.1256       0.1892         0.7840         15.2297        0.0244         0.2505         9.5262         6.6609         305.0118       
0.0000         8.0052         3.0000         2.0660         219.1577       30.9463        61.6799        93.6834        93.6834        93.6834        74.6502        71.5400        73.0951        176.9505       171.0740       174.0252       0.1904         0.7802         15.4208        0.0213         0.2174         9.6188         6.7340         308.7366       
0.0000         7.9233         4.0000         2.0873         223.3640       33.4536        64.0232        96.7571        96.7571        96.7571        76.3960        73.6154        75.0057        181.4361       176.1683       178.8122       0.1920         0.7752         15.5597        0.0185         0.1889         9.7091         6.8084         312.2619       
0.0000         7.8444         5.0000         2.1083         227.6062       36.0625        66.2938        99.9104        99.9104        99.9104        78.0850        75.6017        76.8433        185.8405       181.1207       183.4884       0.1939         0.7691         15.6520        0.0162         0.1642         9.7973         6.8840         315.6020       
0.0000         7.7686         6.0000         2.1289         231.8800       38.7664        68.4928        103.1376       103.1376       103.1376       79.7184        77.5033        78.6108        190.1613       185.9357       188.0545       0.1961         0.7622         15.7027        0.0141         0.1429         9.8834         6.9604         318.7692       
0.0000         7.6957         7.0000         2.1491         236.1807       41.5587        70.6217        106.4327       106.4327       106.4327       81.2974        79.3241        80.3107        194.3964       190.6168       192.5113       0.1985         0.7546         15.7167        0.0123         0.1244         9.9676         7.0374         321.7747       
0.0000         7.6255         8.0000         2.1688         240.5040       44.4328        72.6816        109.7899       109.7899       109.7899       82.8232        81.0679        81.9456        198.5438       195.1672       196.8591       0.2012         0.7464         15.6986        0.0107         0.1083         10.0498        7.1149         324.6285       
0.0000         7.5580         9.0000         2.1882         244.8452       47.3821        74.6739        113.2031       113.2031       113.2031       84.2970        82.7382        83.5176        202.6017       199.5891       201.0982       0.2039         0.7378         15.6524        0.0093         0.0942         10.1303        7.1926         327.3396       
