#Y. Zhao, Z. Wu, S. Hao, W. Wang, X. Deng, J. Song, Elastic properties of fe-bearing akimotoite at mantle conditions: Implications for composition and temperature in lower mantle transition zone, Fundamental Research 2 (2022) 570–577.
#T(K)	V(Ang^3/atom)	P(GPa)	rho(None)	C11(GPa)	C12(GPa)	C13(GPa)	C14(GPa)	C15(GPa)	C33(GPa)	C44(GPa)
0	6.56764	0	1	451	155	94	-15	26	361	103
0	6.53781	1	1	456.62134	158.29125	98.04476	-14.74954	26.57549	366.45041	105.09612
0	6.50798	2	1	462.20536	161.585	102.07904	-14.49816	27.14196	371.84164	107.16448
0	6.47815	3	1	467.75206	164.88125	106.10284	-14.24586	27.69941	377.17369	109.20508
0	6.44832	4	1	473.26144	168.18	110.11616	-13.99264	28.24784	382.44656	111.21792
0	6.4185	5	1	478.7335	171.48125	114.119	-13.7385	28.78725	387.66025	113.203
0	6.3919	6	1	484.16824	174.785	118.11136	-13.48344	29.31764	392.81476	115.16032
0	6.3653	7	1	489.56566	178.09125	122.09324	-13.22746	29.83901	397.91009	117.08988
0	6.33871	8	1	494.92576	181.4	126.06464	-12.97056	30.35136	402.94624	118.99168
0	6.31211	9	1	500.24854	184.71125	130.02556	-12.71274	30.85469	407.92321	120.86572
0	6.28554	10	1	505.534	188.025	133.976	-12.454	31.349	412.841	122.712
0	6.26263	11	1	510.78214	191.34125	137.91596	-12.19434	31.83429	417.69961	124.53052
0	6.23973	12	1	515.99296	194.66	141.84544	-11.93376	32.31056	422.49904	126.32128
0	6.21682	13	1	521.16646	197.98125	145.76444	-11.67226	32.77781	427.23929	128.08428
0	6.19392	14	1	526.30264	201.305	149.67296	-11.40984	33.23604	431.92036	129.81952
0	6.17103	15	1	531.4015	204.63125	153.571	-11.1465	33.68525	436.54225	131.527
0	6.14951	16	1	536.46304	207.96	157.45856	-10.88224	34.12544	441.10496	133.20672
0	6.12799	17	1	541.48726	211.29125	161.33564	-10.61706	34.55661	445.60849	134.85868
0	6.10647	18	1	546.47416	214.625	165.20224	-10.35096	34.97876	450.05284	136.48288
0	6.08495	19	1	551.42374	217.96125	169.05836	-10.08394	35.39189	454.43801	138.07932
0	6.06345	20	1	556.336	221.3	172.904	-9.816	35.796	458.764	139.648
0	6.04316	21	1	561.21094	224.64125	176.73916	-9.54714	36.19109	463.03081	141.18892
0	6.02287	22	1	566.04856	227.985	180.56384	-9.27736	36.57716	467.23844	142.70208
0	6.00258	23	1	570.84886	231.33125	184.37804	-9.00666	36.95421	471.38689	144.18748
0	5.98229	24	1	575.61184	234.68	188.18176	-8.73504	37.32224	475.47616	145.64512
0	5.96201	25	1	580.3375	238.03125	191.975	-8.4625	37.68125	479.50625	147.075
0	5.94411	26	1	585.02584	241.385	195.75776	-8.18904	38.03124	483.47716	148.47712
0	5.92622	27	1	589.67686	244.74125	199.53004	-7.91466	38.37221	487.38889	149.85148
0	5.90832	28	1	594.29056	248.1	203.29184	-7.63936	38.70416	491.24144	151.19808
0	5.89042	29	1	598.86694	251.46125	207.04316	-7.36314	39.02709	495.03481	152.51692
0	5.87252	30	1	603.406	254.825	210.784	-7.086	39.341	498.769	153.808
300	6.65133	0	1	436	150	86	-16	23	346	96
300	6.62024	1	1	441.97926	153.30201	90.09466	-15.75949	23.63458	351.77767	98.25469
300	6.58688	2	1	447.91704	156.60804	94.17864	-15.51796	24.25832	357.49068	100.47876
300	6.55583	3	1	453.81334	159.91809	98.25194	-15.27541	24.87122	363.13903	102.67221
300	6.52581	4	1	459.66816	163.23216	102.31456	-15.03184	25.47328	368.72272	104.83504
300	6.48906	5	1	465.4815	166.55025	106.3665	-14.78725	26.0645	374.24175	106.96725
300	6.46119	6	1	471.25336	169.87236	110.40776	-14.54164	26.64488	379.69612	109.06884
300	6.43552	7	1	476.98374	173.19849	114.43834	-14.29501	27.21442	385.08583	111.13981
300	6.41081	8	1	482.67264	176.52864	118.45824	-14.04736	27.77312	390.41088	113.18016
300	6.3806	9	1	488.32006	179.86281	122.46746	-13.79869	28.32098	395.67127	115.18989
300	6.35368	10	1	493.926	183.201	126.466	-13.549	28.858	400.867	117.169
300	6.32663	11	1	499.49046	186.54321	130.45386	-13.29829	29.38418	405.99807	119.11749
300	6.30395	12	1	505.01344	189.88944	134.43104	-13.04656	29.89952	411.06448	121.03536
300	6.28097	13	1	510.49494	193.23969	138.39754	-12.79381	30.40402	416.06623	122.92261
300	6.25331	14	1	515.93496	196.59396	142.35336	-12.54004	30.89768	421.00332	124.77924
300	6.23061	15	1	521.3335	199.95225	146.2985	-12.28525	31.3805	425.87575	126.60525
300	6.20535	16	1	526.69056	203.31456	150.23296	-12.02944	31.85248	430.68352	128.40064
300	6.18062	17	1	532.00614	206.68089	154.15674	-11.77261	32.31362	435.42663	130.16541
300	6.16486	18	1	537.28024	210.05124	158.06984	-11.51476	32.76392	440.10508	131.89956
300	6.14314	19	1	542.51286	213.42561	161.97226	-11.25589	33.20338	444.71887	133.60309
300	6.11543	20	1	547.704	216.804	165.864	-10.996	33.632	449.268	135.276
300	6.10127	21	1	552.85366	220.18641	169.74506	-10.73509	34.04978	453.75247	136.91829
300	6.07515	22	1	557.96184	223.57284	173.61544	-10.47316	34.45672	458.17228	138.52996
300	6.05833	23	1	563.02854	226.96329	177.47514	-10.21021	34.85282	462.52743	140.11101
300	6.0343	24	1	568.05376	230.35776	181.32416	-9.94624	35.23808	466.81792	141.66144
300	6.01631	25	1	573.0375	233.75625	185.1625	-9.68125	35.6125	471.04375	143.18125
300	5.99484	26	1	577.97976	237.15876	188.99016	-9.41524	35.97608	475.20492	144.67044
300	5.98303	27	1	582.88054	240.56529	192.80714	-9.14821	36.32882	479.30143	146.12901
300	5.96178	28	1	587.73984	243.97584	196.61344	-8.88016	36.67072	483.33328	147.55696
300	5.94541	29	1	592.55766	247.39041	200.40906	-8.61109	37.00178	487.30047	148.95429
