Output data for Rhombohedral II structure, Space-Group Number between 143 and 148: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C15(GPa)       C33(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         6.5676         0.0000         5.2757         451.0000       155.0000       94.0000        -15.0000       26.0000        361.0000       103.0000       216.5556       211.2332       213.8944       132.1333       120.5953       126.3643       329.4038       303.9443       316.7221       0.2532         0.5908         15.3252        0.0457         0.5036         8.5135         6.3674         273.2592       
0.0000         6.5378         1.0000         5.2997         456.6213       158.2912       98.0448        -14.7495       26.5755        366.4504       105.0961       220.9394       215.6781       218.3088       133.5589       122.2461       127.9025       333.4801       308.4600       321.0154       0.2549         0.5859         15.2763        0.0442         0.4871         8.5657         6.4181         274.7642       
0.0000         6.5080         2.0000         5.3240         462.2054       161.5850       102.0790       -14.4982       27.1420        371.8416       107.1645       225.3043       220.1004       222.7024       134.9618       123.8583       129.4100       337.4963       312.8845       325.2335       0.2566         0.5811         15.2262        0.0429         0.4719         8.6162         6.4676         276.2229       
0.0000         6.4782         3.0000         5.3485         467.7521       164.8812       106.1028       -14.2459       27.6994        377.1737       109.2051       229.6502       224.5002       227.0752       136.3418       125.4330       130.8874       341.4527       317.2199       329.3773       0.2582         0.5764         15.1747        0.0417         0.4578         8.6651         6.5158         277.6367       
0.0000         6.4483         4.0000         5.3733         473.2614       168.1800       110.1162       -13.9926       28.2478        382.4466       111.2179       233.9771       228.8775       231.4273       137.6991       126.9711       132.3351       345.3495       321.4680       333.4478       0.2599         0.5718         15.1219        0.0405         0.4447         8.7125         6.5628         279.0068       
0.0000         6.4185         5.0000         5.3982         478.7335       171.4812       114.1190       -13.7385       28.7873        387.6603       113.2030       238.2851       233.2325       235.7588       139.0336       128.4735       133.7536       349.1868       325.6305       337.4460       0.2614         0.5673         15.0679        0.0395         0.4326         8.7584         6.6086         280.3344       
0.0000         6.3919         6.0000         5.4207         484.1682       174.7850       118.1114       -13.4834       29.3176        392.8148       115.1603       242.5741       237.5652       240.0696       140.3454       129.9409       135.1431       352.9648       329.7091       341.3727       0.2630         0.5629         15.0127        0.0385         0.4214         8.8050         6.6549         281.6442       
0.0000         6.3653         7.0000         5.4434         489.5657       178.0913       122.0932       -13.2275       29.8390        397.9101       117.0899       246.8441       241.8756       244.3599       141.6343       131.3741       136.5042       356.6836       333.7053       345.2288       0.2645         0.5586         14.9563        0.0376         0.4110         8.8503         6.7001         282.9142       
0.0000         6.3387         8.0000         5.4662         494.9258       181.4000       126.0646       -12.9706       30.3514        402.9462       118.9917       251.0951       246.1639       248.6295       142.9005       132.7738       137.8371       360.3433       337.6204       349.0149       0.2660         0.5544         14.8987        0.0367         0.4014         8.8942         6.7443         284.1452       
0.0000         6.3121         9.0000         5.4892         500.2485       184.7113       130.0256       -12.7127       30.8547        407.9232       120.8657       255.3272       250.4300       252.8786       144.1439       134.1406       139.1422       363.9440       341.4559       352.7318       0.2675         0.5502         14.8399        0.0359         0.3924         8.9368         6.7873         285.3380       
0.0000         6.2855         10.0000        5.5124         505.5340       188.0250       133.9760       -12.4540       31.3490        412.8410       122.7120       259.5403       254.6741       257.1072       145.3645       135.4751       140.4198       367.4858       345.2128       356.3801       0.2690         0.5462         14.7801        0.0352         0.3841         8.9781         6.8294         286.4939       
0.0000         6.2626         11.0000        5.5326         510.7821       191.3413       137.9160       -12.1943       31.8343        417.6996       124.5305       263.7345       258.8962       261.3153       146.5623       136.7779       141.6701       370.9688       348.8924       359.9604       0.2704         0.5421         14.7191        0.0345         0.3764         9.0207         6.8725         287.6415       
0.0000         6.2397         12.0000        5.5529         515.9930       194.6600       141.8454       -11.9338       32.3106        422.4990       126.3213       267.9096       263.0962       265.5029       147.7374       138.0495       142.8935       374.3932       352.4958       363.4734       0.2718         0.5382         14.6569        0.0339         0.3692         9.0622         6.9147         288.7540       
