#W. Wang, Z. Wu, Elasticity of corundum at high pressures and temperatures: Implications for pyrope decomposition and al-content effect on elastic properties of bridgmanite, Journal of Geophysical Research: Solid Earth 123 (2018) 1201–1216.
#T(K)	V(Ang^3/atom)	P(GPa)	rho(None)	C11(GPa)	C12(GPa)	C13(GPa)	C14(GPa)	C33(GPa)	C44(GPa)
0	8.25709	0	1	501.32	158.46	122.32	19.42	504.08	157.8
0	8.11559	4	1	522.44432	170.50112	135.82032	20.2072	522.50096	165.65664
0	7.99696	8	1	543.25728	182.54448	149.28128	20.9688	540.72384	173.30656
0	7.89446	12	1	563.75888	194.59008	162.70288	21.7048	558.74864	180.74976
0	7.7968	16	1	583.94912	206.63792	176.08512	22.4152	576.57536	187.98624
0	7.70876	20	1	603.828	218.688	189.428	23.1	594.204	195.016
0	7.61031	24	1	623.39552	230.74032	202.73152	23.7592	611.63456	201.83904
0	7.52295	28	1	642.65168	242.79488	215.99568	24.3928	628.86704	208.45536
0	7.43889	32	1	661.59648	254.85168	229.22048	25.0008	645.90144	214.86496
0	7.37673	36	1	680.22992	266.91072	242.40592	25.5832	662.73776	221.06784
0	7.30456	40	1	698.552	278.972	255.552	26.14	679.376	227.064
0	7.22758	44	1	716.56272	291.03552	268.65872	26.6712	695.81616	232.85344
0	7.16162	48	1	734.26208	303.10128	281.72608	27.1768	712.05824	238.43616
0	7.09896	52	1	751.65008	315.16928	294.75408	27.6568	728.10224	243.81216
0	7.03699	56	1	768.72672	327.23952	307.74272	28.1112	743.94816	248.98144
0	6.97317	60	1	785.492	339.312	320.692	28.54	759.596	253.944
0	6.91778	64	1	801.94592	351.38672	333.60192	28.9432	775.04576	258.69984
0	6.86026	68	1	818.08848	363.46368	346.47248	29.3208	790.29744	263.24896
0	6.80935	72	1	833.91968	375.54288	359.30368	29.6728	805.35104	267.59136
0	6.75844	76	1	849.43952	387.62432	372.09552	29.9992	820.20656	271.72704
0	6.70757	80	1	864.648	399.708	384.848	30.3	834.864	275.656
300	8.34663	0	1	488.15	154.15	116.59	20.45	493.19	150.62
300	8.20425	4	1	509.70536	166.0364	129.97384	21.282	511.80728	158.828
300	8.08836	8	1	530.93144	177.9356	143.32536	22.098	530.21912	166.812
300	7.97653	12	1	551.82824	189.8476	156.64456	22.898	548.42552	174.572
300	7.88221	16	1	572.39576	201.7724	169.93144	23.682	566.42648	182.108
300	7.78137	20	1	592.634	213.71	183.186	24.45	584.222	189.42
300	7.68541	24	1	612.54296	225.6604	196.40824	25.202	601.81208	196.508
300	7.60378	28	1	632.12264	237.6236	209.59816	25.938	619.19672	203.372
300	7.51614	32	1	651.37304	249.5996	222.75576	26.658	636.37592	210.012
300	7.4285	36	1	670.29416	261.5884	235.88104	27.362	653.34968	216.428
300	7.35667	40	1	688.886	273.59	248.974	28.05	670.118	222.62
300	7.29008	44	1	707.14856	285.6044	262.03464	28.722	686.68088	228.588
300	7.21911	48	1	725.08184	297.6316	275.06296	29.378	703.03832	234.332
300	7.15252	52	1	742.68584	309.6716	288.05896	30.018	719.19032	239.852
300	7.0921	56	1	759.96056	321.7244	301.02264	30.642	735.13688	245.148
300	7.03035	60	1	776.906	333.79	313.954	31.25	750.878	250.22
300	6.96965	64	1	793.52216	345.8684	326.85304	31.842	766.41368	255.068
300	6.91331	68	1	809.80904	357.9596	339.71976	32.418	781.74392	259.692
300	6.85577	72	1	825.76664	370.0636	352.55416	32.978	796.86872	264.092
300	6.80095	76	1	841.39496	382.1804	365.35624	33.522	811.78808	268.268
300	6.75377	80	1	856.694	394.31	378.126	34.05	826.502	272.22
1000	8.45975	0	1	463.19	148.64	109.16	21.19	472.43	137.54
1000	8.3435	4	1	485.49112	160.45168	122.54624	21.98056	491.5196	146.25536
1000	8.22724	8	1	507.43448	172.28672	135.90496	22.75224	510.3884	154.72144
1000	8.11098	12	1	529.02008	184.14512	149.23616	23.50504	529.0364	162.93824
1000	7.99472	16	1	550.24792	196.02688	162.53984	24.23896	547.4636	170.90576
1000	7.87865	20	1	571.118	207.932	175.816	24.954	565.67	178.624
1000	7.78925	24	1	591.63032	219.86048	189.06464	25.65016	583.6556	186.09296
1000	7.69985	28	1	611.78488	231.81232	202.28576	26.32744	601.4204	193.31264
1000	7.61045	32	1	631.58168	243.78752	215.47936	26.98584	618.9644	200.28304
1000	7.52105	36	1	651.02072	255.78608	228.64544	27.62536	636.2876	207.00416
1000	7.43165	40	1	670.102	267.808	241.784	28.246	653.39	213.476
1000	7.36347	44	1	688.82552	279.85328	254.89504	28.84776	670.2716	219.69856
1000	7.2961	48	1	707.19128	291.92192	267.97856	29.43064	686.9324	225.67184
1000	7.22873	52	1	725.19928	304.01392	281.03456	29.99464	703.3724	231.39584
1000	7.16136	56	1	742.84952	316.12928	294.06304	30.53976	719.5916	236.87056
1000	7.09422	60	1	760.142	328.268	307.064	31.066	735.59	242.096
1000	7.03657	64	1	777.07672	340.43008	320.03744	31.57336	751.3676	247.07216
1000	6.97892	68	1	793.65368	352.61552	332.98336	32.06184	766.9244	251.79904
1000	6.92127	72	1	809.87288	364.82432	345.90176	32.53144	782.2604	256.27664
1000	6.86362	76	1	825.73432	377.05648	358.79264	32.98216	797.3756	260.50496
1000	6.80598	80	1	841.238	389.312	371.656	33.414	812.27	264.484
1500	8.60564	0	1	443.77	144.35	103.22	21.75	456.45	127.12
1500	8.47543	4	1	466.66008	156.00728	116.5696	22.49944	475.89432	136.26496
1500	8.34522	8	1	489.17032	167.69912	129.8984	23.22776	495.10728	145.13984
1500	8.21502	12	1	511.30072	179.42552	143.2064	23.93496	514.08888	153.74464
1500	8.08481	16	1	533.05128	191.18648	156.4936	24.62104	532.83912	162.07936
1500	7.9546	20	1	554.422	202.982	169.76	25.286	551.358	170.144
1500	7.86195	24	1	575.41288	214.81208	183.0056	25.92984	569.64552	177.93856
1500	7.76984	28	1	596.02392	226.67672	196.2304	26.55256	587.70168	185.46304
1500	7.67772	32	1	616.25512	238.57592	209.4344	27.15416	605.52648	192.71744
1500	7.58561	36	1	636.10648	250.50968	222.6176	27.73464	623.11992	199.70176
1500	7.4935	40	1	655.578	262.478	235.78	28.294	640.482	206.416
1500	7.42165	44	1	674.66968	274.48088	248.9216	28.83224	657.61272	212.86016
1500	7.35014	48	1	693.38152	286.51832	262.0424	29.34936	674.51208	219.03424
1500	7.27862	52	1	711.71352	298.59032	275.1424	29.84536	691.18008	224.93824
1500	7.20711	56	1	729.66568	310.69688	288.2216	30.32024	707.61672	230.57216
1500	7.1356	60	1	747.238	322.838	301.28	30.774	723.822	235.936
1500	7.06898	64	1	764.43048	335.01368	314.3176	31.20664	739.79592	241.02976
1500	7.00245	68	1	781.24312	347.22392	327.3344	31.61816	755.53848	245.85344
1500	6.93593	72	1	797.67592	359.46872	340.3304	32.00856	771.04968	250.40704
1500	6.8694	76	1	813.72888	371.74808	353.3056	32.37784	786.32952	254.69056
1500	6.80287	80	1	829.402	384.062	366.26	32.726	801.378	258.704
2000	8.73649	0	1	423.63	140.22	97.32	22.26	440.03	116.1
2000	8.59799	4	1	447.10808	151.72432	110.59408	22.96816	459.82904	125.75296
2000	8.45949	8	1	470.18232	163.27728	123.85632	23.65264	479.38616	135.11184
2000	8.32099	12	1	492.85272	174.87888	137.10672	24.31344	498.70136	144.17664
2000	8.18248	16	1	515.11928	186.52912	150.34528	24.95056	517.77464	152.94736
2000	8.04398	20	1	536.982	198.228	163.572	25.564	536.606	161.424
2000	7.9463	24	1	558.44088	209.97552	176.78688	26.15376	555.19544	169.60656
2000	7.8492	28	1	579.49592	221.77168	189.98992	26.71984	573.54296	177.49504
2000	7.7521	32	1	600.14712	233.61648	203.18112	27.26224	591.64856	185.08944
2000	7.655	36	1	620.39448	245.50992	216.36048	27.78096	609.51224	192.38976
2000	7.5579	40	1	640.238	257.452	229.528	28.276	627.134	199.396
2000	7.48274	44	1	659.67768	269.44272	242.68368	28.74736	644.51384	206.10816
2000	7.40795	48	1	678.71352	281.48208	255.82752	29.19504	661.65176	212.52624
2000	7.33316	52	1	697.34552	293.57008	268.95952	29.61904	678.54776	218.65024
2000	7.25836	56	1	715.57368	305.70672	282.07968	30.01936	695.20184	224.48016
2000	7.18357	60	1	733.398	317.892	295.188	30.396	711.614	230.016
2000	7.12385	64	1	750.81848	330.12592	308.28448	30.74896	727.78424	235.25776
2000	7.06441	68	1	767.83512	342.40848	321.36912	31.07824	743.71256	240.20544
2000	7.00497	72	1	784.44792	354.73968	334.44192	31.38384	759.39896	244.85904
2000	6.94553	76	1	800.65688	367.11952	347.50288	31.66576	774.84344	249.21856
2000	6.88609	80	1	816.462	379.548	360.552	31.924	790.046	253.284
2500	8.88479	0	1	402.78	136.41	91.6	22.72	423.25	104.45
2500	8.73651	4	1	426.92496	147.68328	104.8	23.38656	443.40376	114.64936
2500	8.58824	8	1	450.63984	159.02312	118	24.02624	463.30504	124.52744
2500	8.43996	12	1	473.92464	170.42952	131.2	24.63904	482.95384	134.08424
2500	8.29169	16	1	496.77936	181.90248	144.4	25.22496	502.35016	143.31976
2500	8.14372	20	1	519.204	193.442	157.6	25.784	521.494	152.234
2500	8.04039	24	1	541.19856	205.04808	170.8	26.31616	540.38536	160.82696
2500	7.93707	28	1	562.76304	216.72072	184	26.82144	559.02424	169.09864
2500	7.83375	32	1	583.89744	228.45992	197.2	27.29984	577.41064	177.04904
2500	7.73043	36	1	604.60176	240.26568	210.4	27.75136	595.54456	184.67816
2500	7.6271	40	1	624.876	252.138	223.6	28.176	613.426	191.986
2500	7.54936	44	1	644.72016	264.07688	236.8	28.57376	631.05496	198.97256
2500	7.4726	48	1	664.13424	276.08232	250	28.94464	648.43144	205.63784
2500	7.39583	52	1	683.11824	288.15432	263.2	29.28864	665.55544	211.98184
2500	7.31907	56	1	701.67216	300.29288	276.4	29.60576	682.42696	218.00456
2500	7.24231	60	1	719.796	312.498	289.6	29.896	699.046	223.706
2500	7.18043	64	1	737.48976	324.76968	302.8	30.15936	715.41256	229.08616
2500	7.11915	68	1	754.75344	337.10792	316	30.39584	731.52664	234.14504
2500	7.05787	72	1	771.58704	349.51272	329.2	30.60544	747.38824	238.88264
2500	6.9966	76	1	787.99056	361.98408	342.4	30.78816	762.99736	243.29896
2500	6.93532	80	1	803.964	374.522	355.6	30.944	778.354	247.394
