The SAM model uses the reference state from Al2O3.dat at T = 0.000000       K
Reference data for Rhombohedral I structure, Space-Group Number between 149 and 167: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C33(GPa)       C44(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
0.0000         8.2571         0.0000         1.0000         501.3200       158.4600       122.3200       19.4200        504.0800       157.8000       256.8861       169.9281       417.6857       332.0775       
0.0000         8.1156         4.0000         1.0000         522.4443       170.5011       135.8203       20.2072        522.5010       165.6566       272.2966       175.5530       433.4983       336.7740       
0.0000         7.9970         8.0000         1.0000         543.2573       182.5445       149.2813       20.9688        540.7238       173.3066       287.5993       180.9815       448.8030       341.3082       
0.0000         7.8945         12.0000        1.0000         563.7589       194.5901       162.7029       21.7048        558.7486       180.7498       302.7941       186.2181       463.6136       345.6629       
0.0000         7.7968         16.0000        1.0000         583.9491       206.6379       176.0851       22.4152        576.5754       187.9862       317.8810       191.2666       477.9418       349.7784       
0.0000         7.7088         20.0000        1.0000         603.8280       218.6880       189.4280       23.1000        594.2040       195.0160       332.8602       196.1301       491.7970       353.7079       
0.0000         7.6103         24.0000        1.0000         623.3955       230.7403       202.7315       23.7592        611.6346       201.8390       347.7315       200.8115       505.1875       357.3120       
0.0000         7.5229         28.0000        1.0000         642.6517       242.7949       215.9957       24.3928        628.8670       208.4554       362.4950       205.3130       518.1200       360.7682       
0.0000         7.4389         32.0000        1.0000         661.5965       254.8517       229.2205       25.0008        645.9014       214.8650       377.1508       209.6369       530.6004       364.0282       
0.0000         7.3767         36.0000        1.0000         680.2299       266.9107       242.4059       25.5832        662.7378       221.0678       391.6988       213.7849       542.6335       367.2569       
0.0000         7.3046         40.0000        1.0000         698.5520       278.9720       255.5520       26.1400        679.3760       227.0640       406.1390       217.7585       554.2234       370.2023       
0.0000         7.2276         44.0000        1.0000         716.5627       291.0355       268.6587       26.6712        695.8162       232.8534       420.4715       221.5593       565.3737       372.9117       
0.0000         7.1616         48.0000        1.0000         734.2621       303.1013       281.7261       27.1768        712.0582       238.4362       434.6963       225.1885       576.0874       375.5276       
0.0000         7.0990         52.0000        1.0000         751.6501       315.1693       294.7541       27.6568        728.1022       243.8122       448.8132       228.6471       586.3668       377.9922       
0.0000         7.0370         56.0000        1.0000         768.7267       327.2395       307.7427       28.1112        743.9482       248.9814       462.8225       231.9361       596.2140       380.2884       
0.0000         6.9732         60.0000        1.0000         785.4920       339.3120       320.6920       28.5400        759.5960       253.9440       476.7240       235.0565       605.6309       382.3981       
0.0000         6.9178         64.0000        1.0000         801.9459       351.3867       333.6019       28.9432        775.0458       258.6998       490.5178       238.0091       614.6187       384.4202       
0.0000         6.8603         68.0000        1.0000         818.0885       363.4637       346.4725       29.3208        790.2974       263.2490       504.2038       240.7944       623.1787       386.2627       
0.0000         6.8094         72.0000        1.0000         833.9197       375.5429       359.3037       29.6728        805.3510       267.5914       517.7821       243.4132       631.3116       388.0116       
0.0000         6.7584         76.0000        1.0000         849.4395       387.6243       372.0955       29.9992        820.2066       271.7270       531.2527       245.8661       639.0182       389.6088       
0.0000         6.7076         80.0000        1.0000         864.6480       399.7080       384.8480       30.3000        834.8640       275.6560       544.6154       248.1535       646.2988       391.0579       
The SAM model parameters are as follows:
V: b0 is 0.00050250 (ang$^3/atom)     b1 is -0.06227112 (ang^3/atom/GPa)     RMSE is 0.0221175 (ang^3/atom)
C11: b0 is -0.034936 (GPa)     b1 is 9.833306     RMSE is 2.444385 (GPa)
C12: b0 is 0.010154 (GPa)     b1 is 2.620263     RMSE is 1.961381 (GPa)
C13: b0 is 0.007373 (GPa)     b1 is 3.409688     RMSE is 2.453636 (GPa)
C14: b0 is -0.030344 (GPa)     b1 is 0.054201     RMSE is 1.294186 (GPa)
C33: b0 is -0.017180 (GPa)     b1 is 8.193570     RMSE is 2.520239 (GPa)
C44: b0 is -0.026704 (GPa)     b1 is 5.187802     RMSE is 1.127111 (GPa)
B: b0 is -0.003726 (GPa)     b1 is 5.157765     RMSE is 2.349150 (GPa)
G: b0 is -0.025970 (GPa)     b1 is 4.215132     RMSE is 0.626196 (GPa)
E: b0 is -0.054108 (GPa)     b1 is 10.029396     RMSE is 1.783590 (GPa)
The modeled elastic constants and moduli are as follows:
T(K)           P(GPa)         V(ang^3/atom)  C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C33(GPa)       C44(GPa)       B(GPa)         G(GPa)         E(GPa)         
0.0000         0.0000         8.2571         501.3200       158.4600       122.3200       19.4200        504.0800       157.8000       256.8861       169.9281       417.6857       
0.0000         2.0000         8.1833         511.9211       164.4803       129.0751       19.8168        513.3152       161.7542       264.6048       172.7654       425.6564       
0.0000         4.0000         8.1156         522.4443       170.5011       135.8203       20.2072        522.5010       165.6566       272.2966       175.5530       433.4983       
0.0000         6.0000         8.0536         532.8897       176.5225       142.5557       20.5912        531.6372       169.5074       279.9614       178.2915       441.2133       
0.0000         8.0000         7.9970         543.2573       182.5445       149.2813       20.9688        540.7238       173.3066       287.5993       180.9815       448.8030       
0.0000         10.0000        7.9447         553.5470       188.5670       155.9970       21.3400        549.7610       177.0540       295.2102       183.6235       456.2693       
0.0000         12.0000        7.8945         563.7589       194.5901       162.7029       21.7048        558.7486       180.7498       302.7941       186.2181       463.6136       
0.0000         14.0000        7.8444         573.8929       200.6137       169.3989       22.0632        567.6868       184.3938       310.3510       188.7656       470.8374       
0.0000         16.0000        7.7968         583.9491       206.6379       176.0851       22.4152        576.5754       187.9862       317.8810       191.2666       477.9418       
0.0000         18.0000        7.7531         593.9275       212.6627       182.7615       22.7608        585.4144       191.5270       325.3841       193.7213       484.9279       
0.0000         20.0000        7.7088         603.8280       218.6880       189.4280       23.1000        594.2040       195.0160       332.8602       196.1301       491.7970       
0.0000         22.0000        7.6596         613.6507       224.7139       196.0847       23.4328        602.9440       198.4534       340.3093       198.4934       498.5499       
0.0000         24.0000        7.6103         623.3955       230.7403       202.7315       23.7592        611.6346       201.8390       347.7315       200.8115       505.1875       
0.0000         26.0000        7.5657         633.0625       236.7673       209.3685       24.0792        620.2756       205.1730       355.1267       203.0846       511.7106       
0.0000         28.0000        7.5229         642.6517       242.7949       215.9957       24.3928        628.8670       208.4554       362.4950       205.3130       518.1200       
0.0000         30.0000        7.4791         652.1630       248.8230       222.6130       24.7000        637.4090       211.6860       369.8364       207.4971       524.4164       
0.0000         32.0000        7.4389         661.5965       254.8517       229.2205       25.0008        645.9014       214.8650       377.1508       209.6369       530.6004       
0.0000         34.0000        7.4067         670.9521       260.8809       235.8181       25.2952        654.3444       217.9922       384.4383       211.7328       536.6726       
0.0000         36.0000        7.3767         680.2299       266.9107       242.4059       25.5832        662.7378       221.0678       391.6988       213.7849       542.6335       
0.0000         38.0000        7.3425         689.4299       272.9411       248.9839       25.8648        671.0816       224.0918       398.9324       215.7934       548.4836       
0.0000         40.0000        7.3046         698.5520       278.9720       255.5520       26.1400        679.3760       227.0640       406.1390       217.7585       554.2234       
0.0000         42.0000        7.2653         707.5963       285.0035       262.1103       26.4088        687.6208       229.9846       413.3187       219.6805       559.8533       
0.0000         44.0000        7.2276         716.5627       291.0355       268.6587       26.6712        695.8162       232.8534       420.4715       221.5593       565.3737       
0.0000         46.0000        7.1935         725.4513       297.0681       275.1973       26.9272        703.9620       235.6706       427.5973       223.3953       570.7850       
0.0000         48.0000        7.1616         734.2621       303.1013       281.7261       27.1768        712.0582       238.4362       434.6963       225.1885       576.0874       
0.0000         50.0000        7.1301         742.9950       309.1350       288.2450       27.4200        720.1050       241.1500       441.7682       226.9390       581.2812       
0.0000         52.0000        7.0990         751.6501       315.1693       294.7541       27.6568        728.1022       243.8122       448.8132       228.6471       586.3668       
0.0000         54.0000        7.0683         760.2273       321.2041       301.2533       27.8872        736.0500       246.4226       455.8313       230.3128       591.3443       
0.0000         56.0000        7.0370         768.7267       327.2395       307.7427       28.1112        743.9482       248.9814       462.8225       231.9361       596.2140       
0.0000         58.0000        7.0045         777.1483       333.2755       314.2223       28.3288        751.7968       251.4886       469.7867       233.5174       600.9762       
0.0000         60.0000        6.9732         785.4920       339.3120       320.6920       28.5400        759.5960       253.9440       476.7240       235.0565       605.6309       
0.0000         62.0000        6.9451         793.7579       345.3491       327.1519       28.7448        767.3456       256.3478       483.6344       236.5537       610.1784       
0.0000         64.0000        6.9178         801.9459       351.3867       333.6019       28.9432        775.0458       258.6998       490.5178       238.0091       614.6187       
0.0000         66.0000        6.8889         810.0561       357.4249       340.0421       29.1352        782.6964       261.0002       497.3743       239.4226       618.9521       
0.0000         68.0000        6.8603         818.0885       363.4637       346.4725       29.3208        790.2974       263.2490       504.2038       240.7944       623.1787       
0.0000         70.0000        6.8342         826.0430       369.5030       352.8930       29.5000        797.8490       265.4460       511.0064       242.1246       627.2985       
0.0000         72.0000        6.8094         833.9197       375.5429       359.3037       29.6728        805.3510       267.5914       517.7821       243.4132       631.3116       
