Output data for Rhombohedral I structure, Space-Group Number between 149 and 167: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C14(GPa)       C33(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         8.2571         0.0000         4.1010         501.3200       158.4600       122.3200       19.4200        504.0800       157.8000       256.9911       256.7810       256.8861       170.9807       168.8755       169.9281       419.8343       415.5330       417.6857       0.2290         0.6615         21.8742        0.0062         0.0631         10.8576        7.9146         332.0775       
0.0000         8.1833         2.0000         4.1380         511.9211       164.4803       129.0751       19.8168        513.3152       161.7542       264.7131       264.4965       264.6048       173.7475       171.7832       172.7654       427.6732       423.6363       425.6565       0.2319         0.6529         21.7359        0.0057         0.0580         10.9368        7.9966         334.4466       
0.0000         8.1156         4.0000         4.1725         522.4443       170.5011       135.8203       20.2072        522.5010       165.6566       272.4081       272.1851       272.2966       176.4735       174.6324       175.5530       435.3993       431.5945       433.4983       0.2347         0.6447         21.6018        0.0052         0.0535         11.0163        8.0784         336.7740       
0.0000         8.0536         6.0000         4.2046         532.8897       176.5225       142.5557       20.5912        531.6372       169.5074       280.0761       279.8468       279.9614       179.1585       177.4244       178.2915       443.0136       439.4104       441.2132       0.2373         0.6368         21.4714        0.0049         0.0497         11.0961        8.1600         339.0609       
0.0000         7.9970         8.0000         4.2344         543.2573       182.5445       149.2813       20.9688        540.7238       173.3066       287.7169       287.4816       287.5993       181.8027       180.1603       180.9815       450.5170       447.0868       448.8030       0.2399         0.6293         21.3442        0.0045         0.0464         11.1762        8.2414         341.3082       
0.0000         7.9447         10.0000        4.2622         553.5470       188.5670       155.9970       21.3400        549.7610       177.0540       295.3308       295.0896       295.2102       184.4059       182.8412       183.6235       457.9105       454.6262       456.2693       0.2424         0.6220         21.2198        0.0043         0.0436         11.2563        8.3224         343.5136       
0.0000         7.8945         12.0000        4.2893         563.7589       194.5901       162.7029       21.7048        558.7486       180.7498       302.9176       302.6706       302.7941       186.9682       185.4680       186.2181       465.1946       462.0309       463.6136       0.2448         0.6150         21.0977        0.0040         0.0413         11.3348        8.4019         345.6629       
0.0000         7.8444         14.0000        4.3167         573.8929       200.6137       169.3989       22.0632        567.6868       184.3938       310.4773       310.2248       310.3510       189.4895       188.0418       188.7656       472.3701       469.3031       470.8374       0.2471         0.6082         20.9776        0.0038         0.0393         11.4106        8.4791         347.7451       
0.0000         7.7968         16.0000        4.3431         583.9491       206.6379       176.0851       22.4152        576.5754       187.9862       318.0100       317.7521       317.8810       191.9700       190.5632       191.2666       479.4375       476.4446       477.9418       0.2494         0.6017         20.8593        0.0037         0.0377         11.4853        8.5553         349.7784       
0.0000         7.7531         18.0000        4.3675         593.9275       212.6627       182.7615       22.7608        585.4144       191.5270       325.5156       325.2525       325.3841       194.4095       193.0330       193.7213       486.3973       483.4573       484.9279       0.2516         0.5954         20.7423        0.0036         0.0365         11.5603        8.6314         351.7770       
