The SAM model uses the reference state from grossular.dat at T = 0.000000       K
Reference data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
0.0000         10.1964        0.0000         1.0000         338.2100       97.6700        102.2900       177.8500       109.1389       271.8161       262.7868       
0.0000         10.1446        1.0000         1.0000         344.9454       100.8540       103.0927       182.2178       110.2973       275.3376       264.0421       
0.0000         10.0943        2.0000         1.0000         351.6116       104.0460       103.8808       186.5679       111.4312       278.7895       265.2626       
0.0000         10.0411        3.0000         1.0000         358.2086       107.2460       104.6543       190.9002       112.5408       282.1729       266.4300       
0.0000         9.9872         4.0000         1.0000         364.7364       110.4540       105.4132       195.2148       113.6261       285.4882       267.5542       
0.0000         9.9425         5.0000         1.0000         371.1950       113.6700       106.1575       199.5117       114.6873       288.7362       268.6805       
0.0000         9.8927         6.0000         1.0000         377.5844       116.8940       106.8872       203.7908       115.7245       291.9175       269.7458       
0.0000         9.8422         7.0000         1.0000         383.9046       120.1260       107.6023       208.0522       116.7377       295.0325       270.7706       
0.0000         9.7943         8.0000         1.0000         390.1556       123.3660       108.3028       212.2959       117.7271       298.0817       271.7705       
0.0000         9.7501         9.0000         1.0000         396.3374       126.6140       108.9887       216.5218       118.6927       301.0656       272.7520       
0.0000         9.7043         10.0000        1.0000         402.4500       129.8700       109.6600       220.7300       119.6347       303.9846       273.6901       
0.0000         9.6589         11.0000        1.0000         408.4934       133.1340       110.3167       224.9205       120.5530       306.8390       274.5962       
0.0000         9.6175         12.0000        1.0000         414.4676       136.4060       110.9588       229.0932       121.4477       309.6291       275.4866       
0.0000         9.5721         13.0000        1.0000         420.3726       139.6860       111.5863       233.2482       122.3189       312.3553       276.3247       
0.0000         9.5255         14.0000        1.0000         426.2084       142.9740       112.1992       237.3855       123.1666       315.0179       277.1239       
0.0000         9.4812         15.0000        1.0000         431.9750       146.2700       112.7975       241.5050       123.9910       317.6170       277.9014       
0.0000         9.4430         16.0000        1.0000         437.6724       149.5740       113.3812       245.6068       124.7920       320.1530       278.6765       
0.0000         9.4011         17.0000        1.0000         443.3006       152.8860       113.9503       249.6909       125.5696       322.6260       279.4023       
0.0000         9.3778         18.0000        1.0000         448.8596       156.2060       114.5048       253.7572       126.3240       325.0362       280.1893       
0.0000         9.3402         19.0000        1.0000         454.3494       159.5340       115.0447       257.8058       127.0552       327.3837       280.8749       
0.0000         9.3077         20.0000        1.0000         459.7700       162.8700       115.5700       261.8367       127.7631       329.6688       281.5560       
0.0000         9.2746         21.0000        1.0000         465.1214       166.2140       116.0807       265.8498       128.4479       331.8916       282.2047       
0.0000         9.2383         22.0000        1.0000         470.4036       169.5660       116.5768       269.8452       129.1096       334.0521       282.8076       
0.0000         9.2088         23.0000        1.0000         475.6166       172.9260       117.0583       273.8229       129.7481       336.1505       283.4159       
0.0000         9.1767         24.0000        1.0000         480.7604       176.2940       117.5252       277.7828       130.3635       338.1869       283.9826       
0.0000         9.1379         25.0000        1.0000         485.8350       179.6700       117.9775       281.7250       130.9559       340.1613       284.4866       
The SAM model parameters are as follows:
V: b0 is 0.00113072 (ang$^3/atom)     b1 is -0.07524170 (ang^3/atom/GPa)     RMSE is 0.0397391 (ang^3/atom)
C11: b0 is -0.122567 (GPa)     b1 is 8.614463     RMSE is 3.572699 (GPa)
C12: b0 is 0.008802 (GPa)     b1 is 2.307830     RMSE is 1.967149 (GPa)
C44: b0 is -0.041962 (GPa)     b1 is 1.908398     RMSE is 0.164085 (GPa)
B: b0 is -0.033981 (GPa)     b1 is 4.366562     RMSE is 2.511651 (GPa)
G: b0 is -0.051971 (GPa)     b1 is 2.392408     RMSE is 0.372851 (GPa)
E: b0 is -0.121339 (GPa)     b1 is 6.065040     RMSE is 1.320661 (GPa)
The modeled elastic constants and moduli are as follows:
T(K)           P(GPa)         V(ang^3/atom)  C11(GPa)       C12(GPa)       C44(GPa)       B(GPa)         G(GPa)         E(GPa)         
0.0000         0.0000         10.1964        338.2100       97.6700        102.2900       177.8500       109.1389       271.8161       
0.0000         1.0000         10.1446        344.9454       100.8540       103.0927       182.2178       110.2973       275.3376       
0.0000         2.0000         10.0943        351.6116       104.0460       103.8808       186.5679       111.4312       278.7895       
0.0000         3.0000         10.0411        358.2086       107.2460       104.6543       190.9002       112.5408       282.1729       
0.0000         4.0000         9.9872         364.7364       110.4540       105.4132       195.2148       113.6261       285.4882       
0.0000         5.0000         9.9425         371.1950       113.6700       106.1575       199.5117       114.6873       288.7362       
0.0000         6.0000         9.8927         377.5844       116.8940       106.8872       203.7908       115.7245       291.9175       
0.0000         7.0000         9.8422         383.9046       120.1260       107.6023       208.0522       116.7377       295.0325       
0.0000         8.0000         9.7943         390.1556       123.3660       108.3028       212.2959       117.7271       298.0817       
0.0000         9.0000         9.7501         396.3374       126.6140       108.9887       216.5218       118.6927       301.0656       
0.0000         10.0000        9.7043         402.4500       129.8700       109.6600       220.7300       119.6347       303.9846       
0.0000         11.0000        9.6589         408.4934       133.1340       110.3167       224.9205       120.5530       306.8390       
0.0000         12.0000        9.6175         414.4676       136.4060       110.9588       229.0932       121.4477       309.6291       
0.0000         13.0000        9.5721         420.3726       139.6860       111.5863       233.2482       122.3189       312.3553       
0.0000         14.0000        9.5255         426.2084       142.9740       112.1992       237.3855       123.1666       315.0179       
0.0000         15.0000        9.4812         431.9750       146.2700       112.7975       241.5050       123.9910       317.6170       
0.0000         16.0000        9.4430         437.6724       149.5740       113.3812       245.6068       124.7920       320.1530       
0.0000         17.0000        9.4011         443.3006       152.8860       113.9503       249.6909       125.5696       322.6260       
0.0000         18.0000        9.3778         448.8596       156.2060       114.5048       253.7572       126.3240       325.0362       
0.0000         19.0000        9.3402         454.3494       159.5340       115.0447       257.8058       127.0552       327.3837       
0.0000         20.0000        9.3077         459.7700       162.8700       115.5700       261.8367       127.7631       329.6688       
0.0000         21.0000        9.2746         465.1214       166.2140       116.0807       265.8498       128.4479       331.8916       
0.0000         22.0000        9.2383         470.4036       169.5660       116.5768       269.8452       129.1096       334.0521       
0.0000         23.0000        9.2088         475.6166       172.9260       117.0583       273.8229       129.7481       336.1505       
0.0000         24.0000        9.1767         480.7604       176.2940       117.5252       277.7828       130.3635       338.1869       
0.0000         25.0000        9.1379         485.8350       179.6700       117.9775       281.7250       130.9559       340.1613       
100.0000       0.0000         10.2099        336.6642       97.2559        101.9476       177.0665       108.7096       270.7278       
100.0000       1.0000         10.1577        343.4377       100.4427       102.7613       181.4486       109.8818       274.2823       
100.0000       2.0000         10.1071        350.1408       103.6373       103.5602       185.8125       111.0291       277.7664       
100.0000       3.0000         10.0536        356.7736       106.8398       104.3441       190.1581       112.1516       281.1808       
100.0000       4.0000         9.9994         363.3360       110.0501       105.1132       194.4855       113.2496       284.5264       
100.0000       5.0000         9.9544         369.8287       113.2684       105.8675       198.7951       114.3232       287.8042       
100.0000       6.0000         9.9043         376.2510       116.4945       106.6068       203.0863       115.3724       291.0143       
100.0000       7.0000         9.8535         382.6031       119.7284       107.3314       207.3594       116.3974       294.1573       
100.0000       8.0000         9.8053         388.8854       122.9703       108.0411       211.6145       117.3982       297.2341       
100.0000       9.0000         9.7609         395.0978       126.2201       108.7361       215.8516       118.3751       300.2449       
100.0000       10.0000        9.7147         401.2401       129.4777       109.4162       220.0706       119.3280       303.1901       
100.0000       11.0000        9.6691         407.3125       132.7432       110.0816       224.2716       120.2571       306.0702       
100.0000       12.0000        9.6274         413.3152       136.0167       110.7322       228.4546       121.1623       308.8856       
100.0000       13.0000        9.5818         419.2479       139.2980       111.3680       232.6195       122.0439       311.6365       
100.0000       14.0000        9.5350         425.1106       142.5871       111.9890       236.7663       122.9017       314.3231       
100.0000       15.0000        9.4904         430.9036       145.8842       112.5953       240.8952       123.7360       316.9459       
100.0000       16.0000        9.4520         436.6272       149.1893       113.1869       245.0062       124.5468       319.5052       
100.0000       17.0000        9.4099         442.2808       152.5023       113.7637       249.0992       125.3340       322.0010       
