Output data for Cubic structure, Space-Group Number between 195 and 230: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C44(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         10.1964        0.0000         3.6678         338.2100       97.6700        102.2900       177.8500       177.8500       177.8500       109.4820       108.7959       109.1389       272.5251       271.1064       271.8161       0.2453         0.6137         14.5841        0.0031         0.0315         9.3895         6.9634         262.7868       
0.0000         10.1446        1.0000         3.6866         344.9454       100.8540       103.0927       182.2178       182.2178       182.2178       110.6739       109.9207       110.2973       276.1194       274.5549       275.3376       0.2482         0.6053         14.4117        0.0034         0.0343         9.4509         7.0305         264.0421       
0.0000         10.0943        2.0000         3.7050         351.6116       104.0460       103.8808       186.5679       186.5679       186.5679       111.8416       111.0208       111.4312       279.6453       277.9328       278.7895       0.2509         0.5973         14.2444        0.0037         0.0370         9.5109         7.0962         265.2626       
0.0000         10.0411        3.0000         3.7246         358.2086       107.2460       104.6543       190.9002       190.9002       190.9002       112.9851       112.0965       112.5408       283.1033       281.2412       282.1729       0.2536         0.5895         14.0819        0.0039         0.0396         9.5678         7.1592         266.4300       
0.0000         9.9872         4.0000         3.7447         364.7364       110.4540       105.4132       195.2148       195.2148       195.2148       114.1044       113.1478       113.6261       286.4940       284.4811       285.4882       0.2563         0.5821         13.9237        0.0042         0.0423         9.6223         7.2202         267.5542       
0.0000         9.9425         5.0000         3.7615         371.1950       113.6700       106.1575       199.5117       199.5117       199.5117       115.1995       114.1751       114.6873       289.8176       287.6533       288.7362       0.2588         0.5748         13.7694        0.0045         0.0449         9.6795         7.2829         268.6805       
0.0000         9.8927         6.0000         3.7804         377.5844       116.8940       106.8872       203.7908       203.7908       203.7908       116.2704       115.1786       115.7245       293.0745       290.7587       291.9175       0.2613         0.5679         13.6186        0.0047         0.0474         9.7325         7.3421         269.7458       
0.0000         9.8422         7.0000         3.7998         383.9046       120.1260       107.6023       208.0522       208.0522       208.0522       117.3171       116.1584       116.7377       296.2650       293.7980       295.0325       0.2637         0.5611         13.4712        0.0050         0.0499         9.7834         7.3995         270.7706       
0.0000         9.7943         8.0000         3.8184         390.1556       123.3660       108.3028       212.2959       212.2959       212.2959       118.3396       117.1147       117.7271       299.3895       296.7718       298.0817       0.2660         0.5545         13.3266        0.0052         0.0523         9.8339         7.4564         271.7705       
0.0000         9.7501         9.0000         3.8357         396.3374       126.6140       108.9887       216.5218       216.5218       216.5218       119.3379       118.0476       118.6927       302.4481       299.6808       301.0656       0.2683         0.5482         13.1848        0.0054         0.0547         9.8847         7.5132         272.7520       
