#W. Qian, W. Wang, F. Zou, Z. Wu, Elasticity of orthoenstatite at high pressure and temperature: Implications for the origin of low vp/vs zones in the mantle wedge, Geophysical Research Letters 45 (2018) 665–673
#T(K)	V(Ang^3/atom)	P(GPa)	rho	C11(GPa)	C12(GPa)	C13(GPa)	C22(GPa)	C23(GPa)	C33(GPa)	C44(GPa)	C55(GPa)	C66(GPa)
300	10.402125	0	1	229.53	78.53	58.65	175.16	50.48	198.38	82.44	75.61	80.42
400	10.42925	0	1	225.76	76.87	56.48	171.9	48.02	193.46	81.44	74.33	79.17
500	10.459375	0	1	222.05	75.12	54.14	168.48	45.34	188.29	80.42	73.05	77.9
600	10.491625	0	1	218.37	73.28	51.68	164.92	42.5	182.9	79.38	71.74	76.61
700	10.5255	0	1	214.7	71.38	49.11	161.24	39.5	177.32	78.32	70.4	75.31
800	10.560875	0	1	211.03	69.43	46.45	157.44	36.38	171.53	77.24	69.03	73.97
900	10.597625	0	1	207.35	67.42	43.7	153.54	33.14	165.55	76.13	67.61	72.62
1000	10.6355	0	1	203.65	65.36	40.85	149.51	29.77	159.37	74.98	66.15	71.24
1100	10.6745	0	1	199.92	63.24	37.9	145.37	26.29	152.98	73.81	64.63	69.83
1200	10.71475	0	1	196.15	61.08	34.87	141.11	22.69	146.38	72.6	63.06	68.4
1300	10.756125	0	1	192.34	58.87	31.73	136.72	18.96	139.55	71.36	61.43	66.93
1400	10.79875	0	1	188.49	56.6	28.5	132.2	15.11	132.49	70.08	59.74	65.44
1500	10.8425	0	1	184.58	54.28	25.16	127.55	11.13	125.19	68.76	57.98	63.91
1600	10.8875	0	1	180.62	51.9	21.71	122.75	7.02	117.63	67.39	56.15	62.34
1700	10.93375	0	1	176.6	49.47	18.14	117.8	2.76	109.8	65.99	54.24	60.74
1800	10.981375	0	1	172.52	46.97	14.46	112.69	-1.65	101.68	64.53	52.25	59.1
1900	11.030375	0	1	168.36	44.41	10.65	107.42	-6.2	93.27	63.03	50.18	57.42
2000	11.08075	0	1	164.13	41.78	6.71	101.97	-10.92	84.54	61.47	48.01	55.7
300	10.01	5	1	271	106.92	93.2	215.44	88.85	256.17	90.54	84.46	91.97
400	10.029875	5	1	267.79	105.68	91.7	213.09	87.2	252.77	89.8	83.58	90.98
500	10.052125	5	1	264.63	104.35	90.08	210.63	85.38	249.21	89.06	82.73	89.97
600	10.07625	5	1	261.52	102.96	88.38	208.09	83.45	245.54	88.32	81.88	88.95
700	10.101625	5	1	258.43	101.52	86.6	205.47	81.41	241.77	87.56	81.04	87.93
800	10.128125	5	1	255.37	100.03	84.77	202.79	79.29	237.89	86.8	80.19	86.89
900	10.1555	5	1	252.31	98.51	82.88	200.04	77.09	233.9	86.03	79.32	85.84
1000	10.18375	5	1	249.26	96.96	80.93	197.23	74.82	229.81	85.25	78.44	84.78
1100	10.21275	5	1	246.21	95.38	78.93	194.36	72.47	225.61	84.45	77.53	83.71
1200	10.2425	5	1	243.15	93.76	76.87	191.41	70.06	221.3	83.64	76.61	82.62
1300	10.273125	5	1	240.08	92.12	74.76	188.4	67.57	216.88	82.81	75.66	81.52
1400	10.30425	5	1	237.01	90.44	72.6	185.33	65.01	212.33	81.96	74.68	80.41
1500	10.33625	5	1	233.91	88.74	70.38	182.17	62.38	207.66	81.09	73.66	79.28
1600	10.369	5	1	230.81	87	68.1	178.95	59.68	202.85	80.2	72.62	78.13
1700	10.402375	5	1	227.68	85.24	65.76	175.65	56.89	197.92	79.29	71.54	76.96
1800	10.4365	5	1	224.54	83.44	63.36	172.27	54.03	192.84	78.36	70.43	75.78
1900	10.4715	5	1	221.37	81.6	60.9	168.8	51.09	187.61	77.41	69.27	74.58
2000	10.50725	5	1	218.18	79.74	58.37	165.25	48.06	182.23	76.43	68.08	73.35
300	9.69825	10	1	304.5	130.42	119.55	244.57	117.65	295.09	95.28	87.96	100.35
400	9.7135	10	1	301.61	129.43	118.44	242.76	116.47	292.54	94.69	87.3	99.51
500	9.730875	10	1	298.75	128.35	117.25	240.86	115.18	289.91	94.11	86.68	98.66
600	9.749875	10	1	295.93	127.23	115.99	238.92	113.79	287.23	93.53	86.08	97.8
700	9.769875	10	1	293.15	126.06	114.69	236.93	112.32	284.5	92.95	85.5	96.93
800	9.790875	10	1	290.4	124.86	113.34	234.9	110.8	281.71	92.38	84.93	96.06
900	9.812625	10	1	287.66	123.64	111.95	232.83	109.23	278.87	91.79	84.37	95.19
1000	9.835	10	1	284.94	122.39	110.53	230.72	107.6	275.97	91.21	83.8	94.31
1100	9.857875	10	1	282.23	121.12	109.07	228.57	105.93	273.01	90.62	83.22	93.43
1200	9.881375	10	1	279.53	119.82	107.58	226.38	104.21	269.99	90.02	82.64	92.53
1300	9.905375	10	1	276.83	118.51	106.06	224.15	102.44	266.9	89.41	82.04	91.64
1400	9.929875	10	1	274.14	117.18	104.5	221.88	100.63	263.75	88.8	81.44	90.73
1500	9.955	10	1	271.46	115.83	102.91	219.57	98.77	260.52	88.17	80.82	89.81
1600	9.9805	10	1	268.77	114.46	101.29	217.22	96.87	257.23	87.54	80.19	88.89
1700	10.0065	10	1	266.09	113.07	99.63	214.82	94.91	253.85	86.89	79.54	87.96
1800	10.033125	10	1	263.4	111.66	97.93	212.38	92.91	250.4	86.24	78.87	87.02
1900	10.060125	10	1	260.71	110.23	96.19	209.89	90.86	246.87	85.57	78.18	86.07
2000	10.087625	10	1	258.02	108.79	94.42	207.35	88.76	243.25	84.89	77.48	85.1
