The SAM model uses the reference state from MgSiO3.dat at T = 300.000000     K
Reference data for Orthorhombic structure, Space-Group Number between 16 and 74: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       BH(GPa)        GH(GPa)        EH(GPa)        Debye(K)       
300.0000       10.4021        0.0000         1.0000         229.5300       78.5300        58.6500        175.1600       50.4800        198.3800       82.4400        75.6100        80.4200        107.7023       74.7456        182.1089       318.9209       
300.0000       10.0100        5.0000         1.0000         271.0000       106.9200       93.2000        215.4400       88.8500        256.1700       90.5400        84.4600        91.9700        145.9952       82.9117        209.1438       335.4032       
300.0000       9.6982         10.0000        1.0000         304.5000       130.4200       119.5500       244.5700       117.6500       295.0900       95.2800        87.9600        100.3500       174.7051       87.6248        225.2206       343.9890       
The SAM model parameters are as follows:
V: b0 is 0.00336220 (ang$^3/atom)     b1 is -0.08623644 (ang^3/atom/GPa)     RMSE is 0.00881861 (ang^3/atom)
C11: b0 is -0.190479 (GPa)     b1 is 8.655314     RMSE is 0.215246 (GPa)
C12: b0 is -0.174686 (GPa)     b1 is 4.719688     RMSE is 0.335648 (GPa)
C13: b0 is -0.326424 (GPa)     b1 is 6.571585     RMSE is 0.577856 (GPa)
C22: b0 is -0.431837 (GPa)     b1 is 9.311977     RMSE is 0.668243 (GPa)
C23: b0 is -0.398568 (GPa)     b1 is 7.740900     RMSE is 0.770294 (GPa)
C33: b0 is -0.761491 (GPa)     b1 is 14.377861     RMSE is 1.146501 (GPa)
C44: b0 is -0.126848 (GPa)     b1 is 2.673053     RMSE is 0.150561 (GPa)
C55: b0 is -0.215697 (GPa)     b1 is 3.474104     RMSE is 0.254464 (GPa)
C66: b0 is -0.106035 (GPa)     b1 is 3.202637     RMSE is 0.123131 (GPa)
B: b0 is -0.394676 (GPa)     b1 is 8.149268     RMSE is 0.670872 (GPa)
G: b0 is -0.131439 (GPa)     b1 is 2.818783     RMSE is 0.158436 (GPa)
E: b0 is -0.473103 (GPa)     b1 is 8.621196     RMSE is 0.740907 (GPa)
The modeled elastic constants and moduli are as follows:
T(K)           P(GPa)         V(ang^3/atom)  C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       B(GPa)         G(GPa)         E(GPa)         
0.0000         0.0000         10.3266        237.1093       82.6630        64.4046        183.3144       57.2586        210.9705       84.7808        78.6522        83.2245        114.8385       77.2140        189.6583       
0.0000         1.0000         10.2522        245.1282       88.1298        70.9489        190.8786       64.4896        221.6875       86.2571        80.1917        85.4020        122.0523       78.6977        194.5468       
0.0000         2.0000         10.1777        253.1543       93.6024        77.5031        198.4562       71.7328        232.4274       87.7373        81.7374        87.5831        129.2781       80.1855        199.4494       
0.0000         3.0000         10.1030        261.1872       99.0804        84.0670        206.0467       78.9876        243.1896       89.2214        83.2894        89.7676        136.5157       81.6773        204.3658       
0.0000         4.0000         10.0283        269.2268       104.5637       90.6402        213.6497       86.2538        253.9734       90.7091        84.8472        91.9553        143.7646       83.1728        209.2955       
0.0000         5.0000         9.9535         277.2729       110.0522       97.2225        221.2649       93.5310        264.7781       92.2003        86.4109        94.1463        151.0246       84.6720        214.2381       
0.0000         6.0000         9.8942         283.7725       114.5878       102.1988       226.6987       98.9341        271.8828       93.0335        86.9221        95.7205        156.4103       85.4954        217.0333       
0.0000         7.0000         9.8350         290.2749       119.1258       107.1794       232.1382       104.3424       278.9973       93.8683        87.4360        97.2961        161.8011       86.3204        219.8346       
0.0000         8.0000         9.7757         296.7800       123.6660       112.1642       237.5831       109.7558       286.1214       94.7048        87.9526        98.8732        167.1970       87.1471        222.6418       
0.0000         9.0000         9.7163         303.2877       128.2085       117.1530       243.0335       115.1741       293.2550       95.5428        88.4719        100.4516       172.5978       87.9755        225.4549       
0.0000         10.0000        9.6570         309.7982       132.7532       122.1458       248.4892       120.5973       300.3979       96.3824        88.9938        102.0314       178.0034       88.8055        228.2738       
100.0000       0.0000         10.3364        236.1288       82.1283        63.6602        182.2595       56.3817        209.3417       84.4779        78.2587        82.8617        113.9153       76.8947        188.6817       
100.0000       1.0000         10.2613        244.1942       87.6283        70.2598        189.8987       63.6794        220.1849       85.9761        79.8321        85.0603        121.1966       78.4012        193.6477       
100.0000       2.0000         10.1862        252.2648       93.1326        76.8669        197.5480       70.9863        231.0456       87.4773        81.4104        87.2616        128.4870       79.9108        198.6244       
100.0000       3.0000         10.1110        260.3406       98.6410        83.4813        205.2072       78.3022        241.9231       88.9813        82.9933        89.4655        135.7863       81.4234        203.6116       
100.0000       4.0000         10.0357        268.4214       104.1535       90.1029        212.8759       85.6266        252.8172       90.4881        84.5808        91.6719        143.0942       82.9388        208.6090       
100.0000       5.0000         9.9604         276.5071       109.6699       96.7314        220.5538       92.9595        263.7272       91.9976        86.1727        93.8807        150.4106       84.4571        213.6162       
100.0000       6.0000         9.9007         283.0357       114.2277       101.7464       226.0396       98.4095        270.9208       92.8460        86.7083        95.4688        155.8433       85.2963        216.4662       
100.0000       7.0000         9.8411         289.5664       118.7874       106.7647       231.5296       103.8634       278.1219       93.6956        87.2460        97.0581        161.2799       86.1367        219.3209       
100.0000       8.0000         9.7814         296.0992       123.3489       111.7861       237.0240       109.3212       285.3304       94.5464        87.7857        98.6484        166.7204       86.9784        222.1801       
100.0000       9.0000         9.7216         302.6340       127.9121       116.8107       242.5225       114.7829       292.5463       95.3985        88.3275        100.2398       172.1648       87.8214        225.0440       
100.0000       10.0000        9.6618         309.1708       132.4770       121.8384       248.0252       120.2483       299.7694       96.2519        88.8714        101.8323       177.6129       88.6657        227.9123       
200.0000       0.0000         10.3670        233.0550       80.4522        61.3264        178.9525       53.6326        204.2357       83.5287        77.0249        81.7243        111.0213       75.8936        185.6200       
200.0000       1.0000         10.2903        241.2312       86.0374        68.0737        186.7903       61.1093        215.4187       85.0849        78.6915        83.9764        118.4822       77.4605        190.7955       
200.0000       2.0000         10.2136        249.4098       91.6247        74.8247        194.6330       68.5905        226.6101       86.6425        80.3605        86.2298        125.9475       79.0289        195.9762       
200.0000       3.0000         10.1369        257.5910       97.2140        81.5792        202.4805       76.0759        237.8098       88.2015        82.0317        88.4844        133.4172       80.5987        201.1620       
200.0000       4.0000         10.0601        265.7746       102.8052       88.3372        210.3326       83.5656        249.0174       89.7619        83.7052        90.7402        140.8910       82.1699        206.3527       
200.0000       5.0000         9.9833         273.9606       108.3983       95.0985        218.1892       91.0593        260.2327       91.3236        85.3808        92.9972        148.3689       83.7425        211.5481       
200.0000       6.0000         9.9224         280.5704       113.0228       100.2326       223.8340       96.6539        267.7018       92.2185        85.9929        94.6266        153.9461       84.6300        214.5685       
