Output data for Orthorhombic structure, Space-Group Number between 16 and 74: 
T(K)           V(ang^3/atom)  P(GPa)         rho(g/cm^3)    C11(GPa)       C12(GPa)       C13(GPa)       C22(GPa)       C23(GPa)       C33(GPa)       C44(GPa)       C55(GPa)       C66(GPa)       BV(GPa)        BR(GPa)        BH(GPa)        GV(GPa)        GR(GPa)        GH(GPa)        EV(GPa)        ER(GPa)        EH(GPa)        nuH            kH             HH(GPa)        AVR            AU             vl(km/s)       vb(km/s)       Debye(K)       
0.0000         10.3266        0.0000         1.6849         237.1093       82.6630        64.4046        183.3144       57.2586        210.9705       84.7808        78.6522        83.2245        115.5607       113.8162       114.6885       77.8027        76.5186        77.1607        190.6273       187.5304       189.0789       0.2252         0.6728         12.9872        0.0083         0.0992         11.3636        8.2504         323.8929       
0.0000         10.2522        1.0000         1.6971         245.1282       88.1298        70.9489        190.8786       64.4896        221.6875       86.2571        80.1917        85.4020        122.7590       121.1163       121.9376       79.3119        78.0008        78.6564        195.7739       192.6467       194.2104       0.2345         0.6451         12.3908        0.0083         0.0976         11.5605        8.4764         326.9675       
0.0000         10.1777        2.0000         1.7095         253.1543       93.6024        77.5031        198.4562       71.7328        232.4274       87.7373        81.7374        87.5831        129.9683       128.4063       129.1873       80.8249        79.4797        80.1523        200.8414       197.6576       199.2497       0.2429         0.6204         11.8688        0.0084         0.0968         11.7508        8.6930         329.9789       
0.0000         10.1030        3.0000         1.7222         261.1872       99.0804        84.0670        206.0467       78.9876        243.1896       89.2214        83.2894        89.7676        137.1882       135.6867       136.4374       82.3416        80.9558        81.6487        205.8419       202.5787       204.2106       0.2505         0.5984         11.4088        0.0085         0.0967         11.9347        8.9008         332.9310       
0.0000         10.0283        4.0000         1.7350         269.2268       104.5637       90.6402        213.6497       86.2538        253.9734       90.7091        84.8472        91.9553        144.4184       142.9579       143.6881       83.8618        82.4299        83.1458        210.7853       207.4228       209.1044       0.2575         0.5787         11.0013        0.0086         0.0971         12.1126        9.1004         335.8274       
0.0000         9.9535         5.0000         1.7480         277.2729       110.0522       97.2225        221.2649       93.5310        264.7781       92.2003        86.4109        94.1463        151.6586       150.2202       150.9394       85.3855        83.9023        84.6439        215.6798       212.2003       213.9405       0.2638         0.5608         10.6383        0.0088         0.0980         12.2845        9.2923         338.6711       
0.0000         9.8942         6.0000         1.7585         283.7725       114.5878       102.1988       226.6987       98.9341        271.8828       93.0335        86.9221        95.7205        157.0884       155.6219       156.3552       86.2441        84.7109        85.4775        218.7076       215.1031       216.9059       0.2688         0.5467         10.3143        0.0090         0.0999         12.3986        9.4294         340.2017       
0.0000         9.8350         7.0000         1.7691         290.2749       119.1258       107.1794       232.1382       104.3424       278.9973       93.8683        87.4360        97.2961        162.5228       161.0251       161.7740       87.1043        85.5179        86.3111        221.7051       217.9673       219.8368       0.2735         0.5335         10.0138        0.0092         0.1021         12.5098        9.5626         341.7101       
0.0000         9.7757         8.0000         1.7798         296.7800       123.6660       112.1642       237.5831       109.7558       286.1214       94.7048        87.9526        98.8732        167.9618       166.4297       167.1958       87.9660        86.3234        87.1447        224.6753       220.7961       222.7363       0.2780         0.5212         9.7344         0.0094         0.1044         12.6183        9.6922         343.1969       
0.0000         9.7163         9.0000         1.7907         303.2877       128.2085       117.1530       243.0335       115.1741       293.2550       95.5428        88.4719        100.4516       173.4053       171.8357       172.6205       88.8293        87.1275        87.9784        227.6206       223.5923       225.6072       0.2822         0.5097         9.4742         0.0097         0.1068         12.7242        9.8182         344.6630       
0.0000         9.6570         10.0000        1.8017         309.7982       132.7532       122.1458       248.4892       120.5973       300.3979       96.3824        88.9938        102.0314       178.8531       177.2429       178.0480       89.6941        87.9303        88.8122        230.5434       226.3586       228.4518       0.2862         0.4988         9.2313         0.0099         0.1094         12.8275        9.9409         346.1090       
100.0000       10.3364        0.0000         1.6833         236.1288       82.1283        63.6602        182.2595       56.3817        209.3417       84.4779        78.2587        82.8617        114.6745       112.8984       113.7864       77.4903        76.2070        76.8487        189.7339       186.6291       188.1815       0.2244         0.6754         13.0212        0.0083         0.0999         11.3344        8.2218         323.2570       
100.0000       10.2613        1.0000         1.6956         244.1942       87.6283        70.2598        189.8987       63.6794        220.1849       85.9761        79.8321        85.0603        121.9347       120.2685       121.1016       79.0211        77.7120        78.3665        194.9501       191.8207       193.3854       0.2339         0.6471         12.4150        0.0084         0.0981         11.5345        8.4511         326.3871       
100.0000       10.1862        2.0000         1.7081         252.2648       93.1326        76.8669        197.5480       70.9863        231.0456       87.4773        81.4104        87.2616        129.2033       127.6247       128.4140       80.5547        79.2123        79.8835        200.0822       196.9005       198.4915       0.2424         0.6221         11.8856        0.0084         0.0971         11.7276        8.6706         329.4498       
100.0000       10.1110        3.0000         1.7208         260.3406       98.6410        83.4813        205.2072       78.3022        241.9231       88.9813        82.9933        89.4655        136.4800       134.9676       135.7238       82.0911        80.7089        81.4000        205.1430       201.8850       203.5142       0.2501         0.5997         11.4201        0.0085         0.0968         11.9140        8.8810         332.4495       
100.0000       10.0357        4.0000         1.7337         268.4214       104.1535       90.1029        212.8759       85.6266        252.8172       90.4881        84.5808        91.6719        143.7645       142.2977       143.0311       83.6302        82.2023        82.9163        210.1429       206.7879       208.4657       0.2571         0.5797         11.0084        0.0086         0.0972         12.0941        9.0829         335.3901       
100.0000       9.9604         5.0000         1.7468         276.5071       109.6699       96.7314        220.5538       92.9595        263.7272       91.9976        86.1727        93.8807        151.0567       149.6158       150.3362       85.1720        83.6931        84.4325        215.0904       211.6200       213.3557       0.2635         0.5616         10.6424        0.0088         0.0980         12.2682        9.2770         338.2749       
100.0000       9.9007         6.0000         1.7574         283.0357       114.2277       101.7464       226.0396       98.4095        270.9208       92.8460        86.7083        95.4688        156.5293       155.0623       155.7958       86.0454        84.5166        85.2810        218.1613       214.5666       216.3645       0.2685         0.5474         10.3164        0.0090         0.0999         12.3838        9.4156         339.8373       
100.0000       9.8411         7.0000         1.7680         289.5664       118.7874       106.7647       231.5296       103.8634       278.1219       93.6956        87.2460        97.0581        162.0054       160.5090       161.2572       86.9201        85.3381        86.1291        221.2004       217.4729       219.3372       0.2733         0.5341         10.0143        0.0092         0.1020         12.4965        9.5503         341.3760       
100.0000       9.7814         8.0000         1.7788         296.0992       123.3489       111.7861       237.0240       109.3212       285.3304       94.5464        87.7857        98.6484        167.4851       165.9558       166.7204       87.7959        86.1578        86.9769        224.2106       220.3423       222.2771       0.2778         0.5217         9.7338         0.0094         0.1043         12.6064        9.6812         342.8921       
100.0000       9.7216         9.0000         1.7897         302.6340       127.9121       116.8107       242.5225       114.7829       292.5463       95.3985        88.3275        100.2398       172.9682       171.4027       172.1854       88.6730        86.9757        87.8244        227.1948       223.1777       225.1870       0.2820         0.5101         9.4726         0.0097         0.1067         12.7136        9.8085         344.3862       
100.0000       9.6618         10.0000        1.8008         309.1708       132.4770       121.8384       248.0252       120.2483       299.7694       96.2519        88.8714        101.8323       178.4548       176.8497       177.6522       89.5512        87.7920        88.6716        230.1552       225.9820       228.0694       0.2860         0.4991         9.2291         0.0099         0.1093         12.8181        9.9323         345.8591       
200.0000       10.3670        0.0000         1.6783         233.0550       80.4522        61.3264        178.9525       53.6326        204.2357       83.5287        77.0249        81.7243        111.8962       110.0145       110.9553       76.5110        75.2285        75.8698        186.9280       183.7926       185.3603       0.2216         0.6838         13.1334        0.0085         0.1023         11.2421        8.1309         321.2497       
200.0000       10.2903        1.0000         1.6908         241.2312       86.0374        68.0737        186.7903       61.1093        215.4187       85.0849        78.6915        83.9764        119.3201       117.5742       118.4471       78.0985        76.7945        77.4465        192.3331       189.1926       190.7629       0.2316         0.6538         12.4955        0.0084         0.0998         11.4510        8.3698         324.5344       
200.0000       10.2136        2.0000         1.7035         249.4098       91.6247        74.8247        194.6330       68.5905        226.6101       86.6425        80.3605        86.2298        126.7481       125.1119       125.9300       79.6874        78.3534        79.0204        197.6425       194.4645       196.0536       0.2405         0.6275         11.9421        0.0084         0.0982         11.6521        8.5979         327.7419       
200.0000       10.1369        3.0000         1.7164         257.5910       97.2140        81.5792        202.4805       76.0759        237.8098       88.2015        82.0317        88.4844        134.1799       132.6289       133.4044       81.2777        79.9061        80.5919        202.8709       199.6279       201.2496       0.2486         0.6041         11.4585        0.0085         0.0975         11.8460        8.8161         330.8777       
200.0000       10.0601        4.0000         1.7295         265.7746       102.8052       88.3372        210.3326       83.5656        249.0174       89.7619        83.7052        90.7402        141.6156       140.1260       140.8708       82.8692        81.4537        82.1615        208.0300       204.6983       206.3645       0.2558         0.5832         11.0331        0.0086         0.0975         12.0329        9.0250         333.9464       
200.0000       9.9833         5.0000         1.7428         273.9606       108.3983       95.0985        218.1892       91.0593        260.2327       91.3236        85.3808        92.9972        149.0549       147.6042       148.3296       84.4621        82.9968        83.7294        213.1295       209.6884       211.4094       0.2625         0.5645         10.6567        0.0087         0.0981         12.2133        9.2255         336.9520       
200.0000       9.9224         6.0000         1.7535         280.5704       113.0228       100.2326       223.8340       96.6539        267.7018       92.2185        85.9929        94.6266        154.6583       153.1887       153.9235       85.3807        83.8661        84.6234        216.3326       212.7699       214.5517       0.2677         0.5498         10.3238        0.0089         0.0999         12.3339        9.3691         338.6131       
