Alloy	c11	c12	c44	c'	A	Z(c12-c44)	VEC	B	G	E	ν	B/G	A_VR
TiZrVNb	166.4	94.7	53.8	35.9	1.5	41.0	4.5	118.6	45.7	121.1	0.33	2.604	0.01958
TiZrNbMo	209.9	101.0	52.6	54.4	0.966	48.4	4.75	137.3	53.33	141.7	0.328	2.575	0.00014
TiZrNbMoV0.25	211.0	100.6	52.1	55.7	0.944	48.6	4.76	137.4	53.31	141.6	0.328	2.579	0.00041
TiZrNbMoV0.50	212.2	100.3	51.6	55.9	0.923	48.7	4.78	137.6	53.3	141.7	0.328	2.581	0.00076
TiZrNbMoV0.75	213.2	100.3	51.2	56.4	0.908	49.1	4.79	138.0	53.25	141.5	0.329	2.591	0.00111
TiZrNbMoV1.00	213.7	100.7	50.9	56.5	0.9	49.8	4.8	138.5	53.17	141.1	0.33	2.608	0.0014
TiZrNbMoV1.25	218.0	101.9	50.0	58.0	0.861	51.9	4.81	140.6	53.09	141.4	0.332	2.648	0.00268
TiZrNbMoV1.50	219.3	102.2	49.8	58.5	0.85	52.1	4.82	141.2	53.1	141.6	0.334	2.658	0.00317
TiZrNbMo0.8	199.0	98.7	52.8	50.1	1.054	45.9	4.68	132.2	51.71	137.2	0.327	2.556	0.00033
TiZrNbMo0.8V0.2	200.8	99.0	52.5	50.9	1.031	46.5	4.7	132.9	51.82	137.6	0.327	2.565	0.00011
TiZrNbMo0.9	204.3	99.5	52.6	52.5	1.004	46.8	4.72	134.4	52.56	139.5	0.327	2.557	0.0
TiZrNbMo0.8V0.5	203.7	100.0	51.9	51.9	1.0	48.1	4.72	134.6	51.88	137.9	0.329	2.594	0.0
